,Scn11a_Scn9a,Scn11a_Scn7a_Scn9a,Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn7a,Scn10a_Scn11a_Scn7a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a,Scn10a_Scn7a,Scn10a_Scn11a,Scn7a,Scn10a
Cacna1e,0.3512163830866853,0.22591427176661535,0.13613362619651204,0.16206598683874177,0.37874130001069106,0.07751473174629504,0.43340707212504265,0.012593461559320198,0.5026654846933738,0.20549366315193712,0.6384828492787359,0.3053942633971469,0.12601367152140558,0.5122658531864711
Hoxb8,0.028316316592764294,0.024372333857316537,0.005117661346580296,0.022368621436459513,0.011044209370658878,0.029019466189956197,0.024293031047086747,0.009246683617770375,0.013084929627705596,0.03419528250495239,0.010134872750704604,0.02713735084378136,0.005429584740061356,0.007015636687130939
Kcne2,0.012206873670672566,0.021627967564905388,0.04801124275628754,0.009989835689969532,0.07062398060747525,0.07180358933603391,0.04757415749301745,0.038542756033093276,0.0612081510124446,0.06261947089552176,0.014560831069430227,0.03842690045583402,0.009315771863027572,0.023902933616960883
Kcnab1,0.341774831188056,0.3730317012062492,0.28158935309348404,0.2439025609545558,0.18400661788561612,0.08842644175003789,0.004367035611057443,0.3127135334728639,0.21631303339726968,0.057326390807417256,0.06153660106868186,0.03652868441947169,0.03107592150586144,0.09374650490512469
Slc6a11,0.3314794197973765,0.4111518623089736,0.13061789721657388,0.31353127747153453,0.11697560160574426,0.28371007263690684,0.2612997472594984,0.20930979965961763,0.1955040762535889,0.204044725398618,0.06070112172074873,0.18204651714586145,0.07897611391499443,0.018125783555636002
Nalcn,0.1523227861455956,0.55287181465622,0.32074017176987873,0.13512822851953807,0.6068525499115245,0.881073001153907,0.612321177500416,0.0766958010182515,0.1970369243261274,0.4776391704404832,0.13365470257125567,0.1970991809837248,0.4006320722065807,0.2787136548905947
Pias3,0.008205674573255106,0.009916759829793134,0.00042508086776035846,0.0043960893513824255,0.0041700970918660644,0.010444075402912468,0.0065591589464044815,0.0012752425852262058,0.002485915937972135,0.008711467297576025,0.0021307851412757425,0.004837312626564635,0.0017110849857149872,0.0038149662951696725
Ephb1,0.7816070988644234,0.9155819516299217,0.9369155452673462,0.6759476230982694,0.8309790687621145,0.020768381233934353,0.12283711006679587,1.0721981285995175,0.9668490468686811,0.1522054171140643,0.029922427521579673,0.25447363259007216,0.13236795842571802,0.10262284261363899
Phox2b,0.023254273402217234,0.0497211475696932,0.1326062048579601,0.00611876555592704,0.1611044243842639,0.18800624094505738,0.15841078791931348,0.10610473218597592,0.13553213874427517,0.1639315141190768,0.00542187859875924,0.13503789145213416,0.02361013198325134,0.028587188815122615
Jun,0.0034573238009765537,0.0013775797539649565,0.04749306663844764,0.0021332424293095107,0.045995115883333014,0.048756961073457325,0.05034184598176481,0.042765158052998804,0.0412939561300125,0.04434335620204999,0.006065363206362995,0.04588811875971655,0.0044069176633752555,0.001618321846019462
Pid1,0.9645786080586185,0.736281282156044,0.4043756330894567,0.4196315665265298,0.14289112846324745,0.3357323483669301,0.19536412510952006,0.17621376871162625,0.35901417474110575,0.5557159557753703,0.7529934021274859,0.012411328060555858,0.2189676530747543,0.5456920586124988
Kcnd2,1.6372604537702031,2.000650589915776,0.22691582112380274,1.5968947995522378,0.2676128586336252,2.2432751466993106,2.1950883463825006,0.13388928347996049,0.08779027296350336,1.8733232321663975,0.31848415552090337,1.8298754631286533,0.366637900910363,0.04377914398941809
Nrcam,0.49109138754781373,0.9102140344614826,0.05691486252935804,0.6624715867316069,0.23237632768304506,0.8544923365088842,1.0295077428144128,0.47933818926613597,0.6616575500999585,0.43602759403084695,0.6011074579988752,0.6031703875653995,0.4211521259953296,0.17221651368869423
Scn10a,0.1408439105388884,0.15345516527654116,0.19262662299717195,0.0,0.0,0.03679895301614796,0.0,0.20810673995854748,0.0,0.05174063888372912,0.0,0.0,0.01705337822235195,0.0
Myc,0.06594960194901553,0.05272183990575833,0.06927804234987738,0.0685383884144163,0.0719012367198498,0.016840026388589877,0.014363046277575411,0.05628249874319435,0.058845484763359795,0.003311241066002065,0.010630373890302655,0.0007740563568393025,0.013193360487646362,0.0027177979264293964
Zfhx2,0.02367225756378563,0.02627640251305672,0.020696093409182888,0.021133380870704772,0.01808542251028857,0.005110388171253672,0.0026563575832327397,0.023221916889023596,0.020996320379691614,0.0025976174666552205,6.526677137736321e-05,3.2633385688681605e-05,0.002440977374780782,0.002728151132049357
Cacnb2,0.7517754430885646,0.7042222876406456,1.1838950649553088,0.6277339358541311,1.0587912417385115,0.4857046966383406,0.606739238824589,1.1366300090218016,1.0196647478661014,0.43953799555903217,0.1667511047666317,0.5629853145373348,0.04578858292769463,0.12362737739873356
Ucn3,8.067982612468963,6.874045677717657,6.841755325606362,5.940287516993517,4.694590938694755,0.09451999276652605,2.371027197978668,5.696163597717066,3.371536979193274,1.2385510947621996,3.582895631109921,1.06888995310479,1.102853823028903,2.325734462744599
Snap25,0.42113327357883173,0.4589820231527654,0.11166512441139712,0.3142274626639567,0.21644522994962945,0.5707600141390933,0.46107949452741337,0.07456882456162497,0.18187907919154683,0.5334661987300063,0.07080652165679875,0.42602426369409063,0.03655076313231414,0.10499643997828638
Nrg1,1.1394059939691894,0.7720020055178258,1.6367222243133601,1.2041671282762412,1.6975012679125034,0.8591370646218164,0.7975575151180938,1.2747167175077168,1.3349004526396842,0.4929030648820969,0.30334075272074723,0.4281419305750449,0.36034285139273387,0.06012214318486741
Pclo,0.014015200247714273,0.027245100431725365,0.0016186794652374556,0.046164418950744204,0.031075440999056878,0.028439076345835885,0.06066041472781383,0.011667313234763157,0.04444156682504448,0.015193150074388493,0.046268591342325915,0.047775086044464884,0.013398178807501855,0.03320696843740283
Snca,0.027918398022260545,0.07175845784486543,0.6073595162013807,0.04631650573022978,0.5877581903709062,0.6643877864428959,0.6813023473270086,0.5609378583990351,0.5414416877763617,0.6198585147418759,0.0644576259945806,0.6366329418482451,0.046620220372829854,0.018106074277173576
Akap6,0.2071011919053455,0.016071761490191308,0.5063885045315614,0.15069246111327111,0.562629827578151,0.5186392871632672,0.46182679778279734,0.6963051271339928,0.752635047876527,0.7137556217009239,0.25007740567758835,0.6571105268483204,0.19341261657361133,0.05679280173790534
Lrrc7,1.066187411222472,0.5666635726965794,2.0052872414319403,1.0056168876652762,1.9442653412426143,1.4192897421676505,1.4828957690054818,1.501591505479879,1.4351055531313364,0.9259770268281158,0.5628341187351154,0.9840101466897011,0.49751571787296855,0.05948083930615815
Ptn,2.233110918452947,1.997801554388687,0.7216971105077868,1.9886746541805458,0.4755350285886775,1.2937042388111042,1.045005449223069,0.4887937407644006,0.23946735818857642,1.519860597291008,0.4744628325254561,1.2762351901348878,0.22335814733435588,0.2454821465551433
Slc6a4,0.19187229818221208,0.14426962295178827,0.3408305289408382,0.24218037618658422,0.39071445540215843,0.19442294649539155,0.14452754961743738,0.2931476146456988,0.34289971209331177,0.14700942312805262,0.002865904136550733,0.09698219569777058,0.04762559606162361,0.05066918610662518
Kdr,0.09601354767930757,0.06449260278563228,0.05646926787495947,0.08568091228281642,0.046639945719212164,0.009099032966174182,0.0009375358999262546,0.02671483876864205,0.016934859412030982,0.04049168221102153,0.039258083092124016,0.03041563943675404,0.029744560414033398,0.009651685694634805
Syt1,0.05704158733215952,0.09765963888652422,0.24659793145783435,0.11217307691675621,0.3020232778098604,0.15220340945830566,0.0952108032755113,0.28537119346378975,0.344502448701401,0.19474787759308665,0.0977575874903629,0.14212236418529475,0.04073232994697009,0.05268265671256209
Creb1,0.08446100841839198,0.11122008962468019,0.016161636190213543,0.03324709888466194,0.03619909174575722,0.09391163948602452,0.043122472691979205,0.04314371018526733,0.010544352618993919,0.06794895447968409,0.025718451161247817,0.01838094087742683,0.026143198354731164,0.050555549023317596
Tacr1,0.6580916027296034,0.9102469255970207,0.9584290995579771,0.21932502315563435,0.5194440567713459,0.060620982512836,0.5064663449259069,1.2167164453261257,0.7795374823931845,0.3098049789163939,0.1898156301465314,0.7553153174851093,0.25573841279428483,0.4453501126634825
