,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn11a_Scn9a,Scn11a_Scn7a,Scn10a_Scn7a,Scn9a,Scn7a,Scn10a_Scn11a,Scn10a,Scn11a
Grid1,0.2140397660354626,0.09817232790386027,0.19408171804856403,0.015899789518489728,0.04675871099463786,0.006987737242602035,0.10615985232025654,0.14051801537759517,0.031530819218567104,0.08360558614681761,0.12532775235686988,0.06445918696782175,0.08874426045598917,0.023887310327662177
Bcl2,4.1627427465434375,5.4930188085161555,4.3255220729188855,2.9254204365501977,3.464651380309864,3.0845982700980707,1.7692394867710661,2.30146018354741,3.630797903373679,1.9238220368020895,2.462363057147885,0.9992801413185408,1.161590389227934,0.15720439791448654
Hnf1a,2.7566381515505936,3.167975462774133,2.319862673650034,2.7825995305405264,2.1639937009235224,2.3678811927187864,1.9001734677064281,1.344700051051692,1.7091559183497071,1.4719109269528623,0.8751005502237902,1.3475880101455109,0.9010418326747035,0.46068409267097593
Kcnj6,0.21365640354789628,0.09146795820285163,0.10807362721183043,0.2859301585603472,0.006876702161886204,0.18120696332457814,0.302535822325148,0.021362710170270593,0.09973172095833159,0.19807636991698202,0.08556805592811072,0.09130190130299472,0.013938997229238494,0.10525066253635199
Prkcb,0.05243008140720434,0.0784149222162567,0.05048739535567738,0.13286629690646898,0.02373895812750054,0.1300252607966912,0.10422008773851156,0.055091453534071785,0.0293761181192909,0.10156994790754309,0.060638775882463386,0.039987904087120114,0.034373203035184145,0.005569783925819673
Kcnh8,1.0011989224215658,0.34903461225391663,1.6405469701209832,0.5588308794426029,2.8493381548318233,1.1728999341236366,1.8624793708373604,1.5328461008542924,2.2053098266260114,2.480439559235542,0.8824232458192703,1.9378264087064538,1.3137164814626285,0.6250078544894765
Trdn,1.1470172208979412,0.9758771619284459,0.919904088653817,0.5320408819835811,0.9374018227461931,0.31391102901810947,0.47628984902368265,0.8862165325754499,0.713879527829983,0.2565435064615115,0.6602262305358639,0.27304176515963624,0.054492360092367055,0.21979571429813588
Ano1,0.33361295731679164,1.2633367163460367,0.5193349464860506,1.1305546329290515,0.4932843196613716,1.316119387195433,0.3880073518749163,0.24134816705698386,0.6779842160076915,0.5720651617316629,0.05629448118681749,0.5535886096503714,0.7350518457469323,0.18109631068702242
Grid2,0.38837732138073083,0.2119273309044631,0.1377261520331981,0.031102543541921938,0.8039826594853713,0.2767615538516613,0.09709699031129444,0.7313887823255528,0.5554284256247224,0.34276664405710355,0.48361155501422454,0.30873691808308,0.06378043884315565,0.24473295458177957
Adcy8,6.8211423409449665,6.272380940170322,6.034544301136896,6.292380588270355,1.833228263459594,5.507164233214747,6.07539606818621,1.5966105213452562,1.027931377869775,5.28948887075437,0.7904193597357421,1.02520783580293,0.22043941394197658,0.806191161609514
Fgf14,0.12912987002513784,0.09355992530074399,0.22965958498365235,0.366445904098321,0.640962760969293,0.4687438221042517,0.5084681813887794,0.49636546760766537,0.5334975875965134,0.6102854043828787,0.39041098415463343,0.2586889151557463,0.15015938683016633,0.10823768107426839
Celf4,0.04302354194468588,0.19005485086345505,0.045442760301622365,0.1559743305888773,0.2694910461730124,0.1538349695383116,0.07345967986794892,0.03512532018943737,0.2697584663043331,0.0778503448916286,0.032388928827431065,0.23572770516382743,0.23426001416919773,0.004029958775772968
Slc1a2,0.2814745760807253,0.1863618255713453,0.2828428263176795,0.16144669600087905,0.07474540838744281,0.16022830070119737,0.2577973866803064,0.022106971130564937,0.0726930352182386,0.25709370576032803,0.024804373118833555,0.09739316465600088,0.09683934960443062,0.0009317114035048981
Hoxd1,0.0027410118355640904,0.0027348104351259655,0.0027410118355640904,0.0001736387628062132,0.002654192395897484,0.0001736387628062132,0.0001736387628062132,0.002654192395897484,0.002654192395897484,0.0001736387628062132,0.002654192395897484,0.0,0.0,0.0
Grm3,0.11517552440612538,0.10892833875781689,0.10915971475385267,0.06538919572495336,0.0657211693930857,0.05418249285905727,0.06649578024461822,0.06703901510011497,0.055017461638740876,0.054886683314801656,0.05534943868240746,0.016930771842913438,0.000855089461784564,0.01854035147412957
Grik3,0.5128122164224317,0.6463669662392224,0.3239571422524293,0.814298328231693,0.5016161441123013,0.6325787998402045,0.49985197746988624,0.19333943590055638,0.3196600508488477,0.31916726413621777,0.01231963540688338,0.4718124889214594,0.30008661765211664,0.17110495710124532
Rapgef4,0.027623645526993233,0.0029127220059086373,0.011338551506911161,0.1538294978828122,0.25425666447295653,0.18995160692718438,0.15958229588685932,0.24256220401426037,0.20648365882574132,0.19579883959380762,0.1944913877176834,0.051121538965716945,0.0064573811000914316,0.045063659433110276
Grin2a,0.19128803670667938,0.20992769322932028,0.06711624469213702,0.1248705680046876,0.4790914677626405,0.008654729025745378,0.016812737503862408,0.33681881848412343,0.35411986553931707,0.13386205694877845,0.21152730517204235,0.2596418679474146,0.141809584015864,0.11879205109718387
Scn11a,0.0,0.1556173864203332,0.1466053446726651,0.0,0.0,0.09630881692675224,0.0,0.0,0.07341626797593277,0.08616079554992023,0.06505334624322681,0.0,0.010169656968176958,0.0
Hcn1,0.7828292823720844,1.125290913831236,0.9758417911619558,0.484201602836902,0.3881484054792979,0.6739140211583186,0.3339139394712259,0.24143130762201842,0.5780772492143857,0.5249788918283635,0.432956090237916,0.04377979791974742,0.1451346918048105,0.19083501226781294
Pmp22,0.011463599415176426,0.02527529744760336,0.03112339383497242,0.03639554157502473,0.1025299863308267,0.07945880033864465,0.04247623318019003,0.0955299907905896,0.06086229515751511,0.08583854320358147,0.05380692051141588,0.0502515436354352,0.008085436792895301,0.04256484123615708
Kcnn4,0.12632290542067337,0.17235629189786336,0.03039793450333509,0.2240561630135496,0.30282578857951076,0.10882460644254187,0.0735630026697465,0.16513093474603932,0.2017487571869743,0.04039028304334363,0.0656127758668307,0.2535967197268322,0.1419583511176948,0.10954948027818927
Scn9a,0.0,0.0,0.0,0.0,0.11061130256667889,0.0,0.0,0.0031637377283198474,0.05270084017230907,0.0,0.157575233293912,0.2561643256517193,0.09831490896552751,0.15472786945637682
Cd36,0.2392278815546332,0.26800919182743294,0.20809554361892915,0.28157155611493634,0.1104147972992283,0.25152686647723554,0.2256655284966695,0.043899858558332595,0.08283829311221022,0.1956794233676278,0.01706798458790593,0.08856108552366909,0.06258260996849609,0.02518364368131487
Cftr,0.610855883231255,0.15984792193094066,0.20218211744771944,0.3177189974474116,0.558548477886036,0.0688536130845989,0.37095552186773956,0.6016833206440201,0.1646220090399914,0.017040428961138596,0.20868595097348194,0.321247667932414,0.06123286130149503,0.3815909307694155
Mc1r,0.021676137490205662,0.02147727358230994,0.021676137490205662,0.002869318293897384,0.018465909610864154,0.002869318293897384,0.003068181795072705,0.018674242986564192,0.018465909610864154,0.003068181795072705,0.018674242986564192,0.0001799242503583715,0.0001799242503583715,0.0
Mgll,0.495858782963511,0.08583837218854246,0.24628334910715083,0.06832824118434888,0.15713252995731458,0.3207880470189947,0.2670142082003012,0.490650584645825,0.10186044408773903,0.016806872044803158,0.23419545220218657,0.08408532047296967,0.3423546528270199,0.25603725224635826
