,Scn11a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn9a,Scn10a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Gabrg3,1.7094394882783057,3.4121100050737936,3.060355619784252,1.8991987795178897,1.4783783456046247,3.591658576058009,3.2394451241154547,2.157106082315559,1.848030267217213,1.95243222559363,0.43699698036157136,1.6534524891999036,0.17530359992947506,0.2572190107873927
Kcnq3,0.23982807519171662,0.0015718557849019733,0.13177390364947625,0.23572378450676898,0.36310959398447223,0.0009933254811377449,0.1307369230314212,0.37734362903109875,0.2483968729056857,0.3742544893354847,0.14453431972000205,0.24122527215384543,0.005163109539044132,0.1413251170664202
Alb,0.03725190999344703,0.007578920320930575,0.001200501044588859,0.03631818732044698,0.030048904132804075,0.0065966922675197255,0.0008609654161642421,0.02417978768876399,0.031031130965544333,0.023852378608887174,0.005093034426369252,0.03014591285917469,0.0010671120215505325,0.005650843045971879
Usp53,0.00839960500661706,0.0026272737062388576,0.002339615901366451,0.010326911012303423,0.010662512052770972,0.0006328469455015112,0.00032601207160883066,0.009598178657352604,0.00927216626400408,0.011525484663038965,0.0016012945775569127,0.011180295940671457,0.001936895135414927,0.0003547778360090868
Kcnh1,0.03814874088694163,0.046234744039638724,0.056136219149679124,0.1774859931895555,0.16763230188367098,0.09368776468101575,0.08397739272600091,0.061917053519904584,0.05150199168650779,0.07548529737272437,0.1490715221712563,0.08598396383067004,0.13802343213876228,0.010833095376160496
Rimbp2,0.09340789765436963,0.26129697789924994,0.3236650439780746,0.10234852752592832,0.04884897939730242,0.06384615663769473,0.13587586535091917,0.12679104308800104,0.06651392394069097,0.06968640453247976,0.290209808397102,0.13991357287092737,0.21064545086916442,0.0894062503288784
Dlgap2,3.1627333585702613,4.13758177937494,4.021757582238381,2.1046806893867958,1.9681116867742439,3.077650337735168,3.0682549622467485,0.15115037770905015,0.12040920140758504,1.088493158665543,0.9362153661620205,0.9462870820806293,1.070153721644079,0.020894979910917513
Epb41,0.08665375655205684,0.08885054430650448,0.1886761612531258,0.0024085192783755895,0.1214317192966585,0.005611055898017516,0.12660165418638925,0.18548244428871893,0.08585092014761771,0.11620003083460174,0.18937313692813004,0.0036789470540048393,0.0884976456052759,0.12113176132123663
Kcnq5,0.18871558852167045,0.6378652961959956,2.033071698527504,2.515601884813038,1.1983935534204098,2.02646165609814,0.6355517952078994,3.4494300702868026,2.2034445579295,0.7358585929997095,3.97112452230924,0.5026907325220076,2.6669709415415186,1.2942386002967616
Slc39a8,0.0003003617924730057,0.0025567382434653414,0.002659300780368518,0.0026886042991309408,0.002637323079842618,0.0004249020544837144,0.0003809466780135484,0.0008424781924043737,0.0006300272020349659,0.002388242555821201,0.0031647876958111427,0.0025567382434653414,0.0029523367054417344,0.00016849563848087473
Ccl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc34a1,0.08635133332266913,0.050633727968632775,0.06193140367660409,0.14154344943387195,0.12496247059035001,0.005535184470880262,0.009933843686030352,0.06519353598692329,0.08147349128310094,0.11484433066382405,0.0729710544894211,0.13493317431604784,0.05579416650409282,0.02093663544864032
Asic2,1.3880167039939988,0.8744829904036211,0.817817191286665,0.7966413137900483,0.7482392815574302,0.2826649022706798,0.2735895173586794,1.0618195086037516,1.147703587663629,0.5113940017757432,0.5577300690769694,0.5453344342240005,0.6009672508752607,0.01320726092687113
Nefl,0.4329139666294243,0.31285451459281205,0.20484036677683948,0.3800383418399292,0.26883366880179527,0.25850309644766384,0.15185229034805756,0.06961536710036666,0.17533851603149883,0.017091113596453943,0.05239775531360878,0.11602560554575791,0.060423270913146934,0.11076896962568224
Gabrb3,1.2242810863702744,0.7983122175278751,0.8550695261980851,0.9758113073827197,1.0565627806154594,0.5456988454721554,0.6147423407609733,0.7686808619334807,0.6683196633892684,0.5243546355968759,0.33090762008990204,0.4220180254715351,0.2522761106069625,0.08528050304882208
Rgs7,0.426085349663691,0.6168488590508084,0.7195985523835953,0.4205719198996802,0.5692331690416952,0.6102327937882415,0.7456117524756742,0.050472642761865416,0.16465008193559305,0.018545062263692808,0.12405143389915667,0.18725500521886107,0.023306632525960286,0.15237024166532648
