,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn9a,Scn10a_Scn9a,Scn11a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Mgll,0.06592383537932278,0.06976693017266658,0.07451536677468532,0.07742540110217465,0.08230317800511223,0.09083003770010162,0.09329663860909501,0.006180359741176806,0.004619102810737554,0.015353898002037205,0.007307420738961668,0.014199122376848502,0.009727830498954428,0.0015704950362462825
Ccr2,0.000920928737800462,0.0006173258514751912,0.0009108086155103308,0.0006375660417236019,0.0007640672497923164,0.0007590072158131767,0.0007590072158131767,0.0018924579240560248,0.0006527461762601322,0.0019177582026154265,0.001265011972023443,0.000667926332529403,2.02401918783662e-05,0.001285252162271854
Iapp,0.01440881681679493,0.026470368038955607,0.014536078154151116,0.026604699281910754,0.01462798920436878,0.014762320447323925,0.026823871669484606,0.012436265328630283,0.00012726138290481188,0.01259180704752604,0.012132251796437732,0.0002828030790262554,0.00016968184893404074,0.01230193408567514
Cxcl12,0.0029199367864830308,0.004179334265980833,0.0027426882059574166,0.004039401456167174,0.004449871741143866,0.004253965369169769,0.005560007327288779,0.0030598699093216716,0.0018004721167988865,0.0028173191839363596,0.0015765792454670536,0.0015019483300931073,0.0002985238868737732,0.0012873842292755238
Gpr39,0.22130087511998933,0.21446734049811078,0.26356730825213365,0.25464129336225516,0.23598985072799772,0.2780199066658107,0.26763405219966824,0.03413291724577555,0.026819714384243656,0.008661836177000556,0.04992721329071688,0.014960090005090684,0.04198835449973203,0.006339963663561
Dpp6,0.4113843242783975,0.2904860591578925,0.6228153283301715,0.502480860617254,0.13587965993274126,0.35210309819576385,0.22963420692441694,0.5840731096296479,0.4736859943619415,0.37912599113227885,0.31356223510896647,0.2688194147317547,0.1991478639886367,0.11135365768582847
Nlgn1,1.4444337964128706,1.45421024541394,1.6535810291252344,1.6643176315751178,1.254883213213469,1.4558687754894883,1.4606260658138055,0.4002689894142396,0.3878301419901281,0.19513713856149242,0.18492418128612415,0.1941332976731061,0.19203833254754524,0.008554434522248605
Foxp1,0.34627830091136236,0.5108303013136877,0.21718425451609635,0.3831454612705673,0.3351863493350642,0.20950169578077188,0.38201807788469627,0.28753637931650666,0.11579280776990618,0.1634882392069896,0.29303689978751474,0.007946208726819904,0.1255209991591224,0.16590666037390173
Gria4,0.6433327316108373,0.7735710922048159,0.6055336232066053,0.7348364361284652,0.38936787743697615,0.35362715442815434,0.48914244341192353,0.07440054861394531,0.2136208912818259,0.10722212193513955,0.17552242331962453,0.2511579913979845,0.03982001224374471,0.13701227513891942
Cntnap2,2.5511575171330905,2.4580407352596696,2.682594775944591,2.5886884843068376,2.246383014236124,2.3711878169988783,2.2720176853719694,0.5905993363790689,0.4600042433942032,0.4332114700579084,0.25955839998869606,0.31682864569270097,0.14222810871125557,0.11232967640476328
Atp1a2,0.4032083348891163,0.5469975772156049,0.4621139263892657,0.6080296408211321,0.37914847136195645,0.43744022372909314,0.5830709393189328,0.04987353213164805,0.09141654163762171,0.11808518470034651,0.07882210708300391,0.02659191169990864,0.06432041796613164,0.14527996193032194
Dlg2,0.5536791912180226,0.2951175901505344,0.4410402020651032,0.19496534132853807,0.1683556757000221,0.2750527041200731,0.524658293472079,0.8179674559225999,0.5875225568107639,0.9281091114571072,0.09601871037122703,0.7096773005102573,0.1303357118761612,0.21365239746248713
Cav1,0.2436701393971275,0.2301651789986507,0.24345232468551792,0.23068795964400435,0.2817672003067006,0.28171637914786907,0.2687487197258406,0.01782509510816867,0.03647791438150114,0.01967658155153928,0.019284502401896646,0.03753797943648252,0.0012706279819059134,0.017338626010259345
Dcdc2a,0.1227516629253535,0.10937215378257967,0.11938908925872435,0.10599778252866005,0.12282835516058536,0.11954247372918805,0.10720713024005873,0.011302969088500196,0.0039996937378010775,0.014913312674623098,0.011592032938863716,0.00041884697032811783,0.004489331932719548,0.015231872868565931
Casr,0.7471007914785556,0.9039298097559103,0.732717636493645,0.899285204255963,0.9707266383451931,0.9570426442566066,1.1274557142519597,0.36923045212527517,0.2255485812255475,0.37528586718691215,0.14299517766331588,0.22391299182111454,0.004157635126224164,0.14986214354264868
Igsf11,2.5957543949562902,2.569287437085665,2.734036109029996,2.7266128206683082,2.2237775269572317,2.3384292069875907,2.319463131009831,0.5458200495164097,0.5173708703451216,0.45293270293479604,0.10998794366057589,0.4242503258602286,0.11119276124079229,0.006762509674739655
Cacna1e,1.801614179490865,1.7608154960149642,1.7182441959338979,1.679379337475109,1.79202560228409,1.7093001144117843,1.6718588693015475,0.03378849118389385,0.06779185481825019,0.044612626662947574,0.04160443038117285,0.008057668901579279,0.0813555993956318,0.038220209564176266
Hoxb8,0.0005342081342125796,0.0005342081342125796,0.0005342081342125796,0.0005342081342125796,0.000611371524472155,0.000611371524472155,0.000611371524472155,9.497033444001266e-05,9.497033444001266e-05,9.497033444001266e-05,0.0,9.497033444001266e-05,0.0,0.0
Kcne2,0.015628652352572645,0.022750296081336923,0.026668282219233484,0.00570380895812955,0.08771094524177449,0.07807832491700369,0.10680301128461822,0.13617708644808035,0.11314538671517238,0.13009446711692957,0.03607361632019156,0.10693288788165906,0.007262344973485454,0.02929831308885787
Kcnab1,0.5781969687709971,0.6437344195615256,0.6371713792398399,0.6970229254374035,0.7166398000856291,0.7750363438966232,0.8342274586903594,0.13126065061850845,0.07421592490261117,0.18834665005099485,0.0011763925940686689,0.13427386392104113,0.060419111739065626,0.05655971799525387
