,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a_Scn7a,Scn10a,Scn11a,Scn7a
Grik3,0.18789277714389452,0.16409643341792898,0.1882968796314816,0.08777428284932984,0.11356064814608723,0.04940734432324678,0.08897896631611123,0.11442222620989617,0.026228590322631647,0.05010880567953929,0.07350105203469356,0.025031529316797342,0.0009149507942694361,0.07404239668346964
Rapgef4,0.020625358687385038,0.12249535932088645,0.23742204465023037,0.2716067892235784,0.15577242566947794,0.23786889744136647,0.012693602628918476,0.10343400883078503,0.37554351798712976,0.0212607371932438,0.12367534944726062,0.11589021663874635,0.26037944299105636,0.13567771345718224
Grin2a,0.1466422156294004,0.13850644745398194,0.01781230811440281,0.2785303253537647,0.1573926324351492,0.2363107205464206,0.1510310942425043,0.02905297092636087,0.24891706880127087,0.10906828505547603,0.1164570076877124,0.12170965409945232,0.12777937979931245,0.011789272883387117
Scn11a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hcn1,0.32399722549791,0.4467027826404164,0.36323881466495755,0.36670091788618664,0.2825548333507623,0.08236999682132387,0.4053247370380202,0.3213459535189495,0.044634242039700824,0.1238381427013323,0.0015186967846787336,0.08544600134052423,0.040502872133936337,0.03942176597019162
Pmp22,0.09008889686801176,0.019826185412033393,0.03746524043410424,0.0806113366102875,0.09762549859678243,0.02701246644053245,0.02809182901564264,0.04503024740261707,0.03491832357809314,0.025147253099581605,0.04471779929634684,0.017355012790935688,0.05232067727037877,0.007583941677031249
Kcnn4,0.12423903265914168,0.04928872744062334,0.1184709565333953,0.02471371858955005,0.0944276761037777,0.042653705364913995,0.019465810964656834,0.08804695831819367,0.07231479226119865,0.046560739772860196,0.03777569347887673,0.07804819017659635,0.005848990605295501,0.032389074564047785
Scn9a,0.0,0.0,0.0,0.0,0.0,0.096301562146789,0.0,0.0,0.09779180923322371,0.056355945543224435,0.03837600999849691,0.0575375624166348,0.039531170148427025,0.0014902448377197082
Cd36,0.04254234684011649,0.032957605391272224,0.034946036333603006,0.03666263212210062,0.03873663982210347,0.009479024174430698,0.029101560932275727,0.03099434587204201,0.005320939529532556,0.001933056514118361,0.011975888810348072,0.002154552537837537,0.0076365800539089385,0.004294003032597381
Cftr,0.06878767038642591,0.12299271830246732,0.06209126116048143,0.1359550467123224,0.07632112976251428,0.061146590506027415,0.12977282612359145,0.0698877973386575,0.0653856555212986,0.05533505919890092,0.0020268596254989415,0.05972360204086546,0.005913168525476312,0.004131445313440406
Mc1r,0.039975304251937384,0.08020305348232233,0.046510850909523144,0.030382352905743544,0.019092403399558106,0.015623607042951468,0.03803053442165026,0.026974330637706278,0.0037212421382006146,0.023383987107893887,0.004212109560413877,0.011490971028099685,0.0076996053740132344,0.01191638964808534
Mgll,0.02042254922792644,0.1279908785215831,0.04070153039360061,0.00600592846317886,0.15859480031250103,0.3300628578959684,0.013734672870494524,0.17768934295736769,0.18886371604139496,0.3100111975123883,0.1537972324926414,0.16907525922223113,0.018639913926926606,0.13488214390391134
Ccr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iapp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcl12,0.008332037831400435,0.013377549698335342,0.00901865955091941,0.0016432629822327651,0.006287602594006727,0.019233120842023187,0.0011032235075420372,0.005678129703701661,0.004420608796599207,0.019726871588693864,0.01455020688035912,0.004752347377278405,0.0003934573463528107,0.015128820834373656
Gpr39,0.16833199947167993,0.14326733091511576,0.11237798128592419,0.18215316044931673,0.15149879283449647,0.10191063974324105,0.1262988426082115,0.09570143569643157,0.0861740222112336,0.046611726985438896,0.07096432558814315,0.030882227629878526,0.0554199638089278,0.015644052566700886
Dpp6,0.03146414368231309,0.012023025185066856,0.0634476406925621,0.06514419567166835,0.008777068047240608,0.09088680044002162,0.033091451163770096,0.04087309296727793,0.10928055590852487,0.059232224686956554,0.01146039260676515,0.07723646661172447,0.03219123950319669,0.020531761066798333
Nlgn1,0.2700952478615417,0.44316629525822815,0.5255626926513398,0.1845537190509475,0.10444197357357349,0.03352824783472292,0.07394016989937095,0.15203428178808945,0.3346593858043345,0.29021219656237546,0.11690379954161605,0.07729299468284324,0.25534875753283576,0.37100638443358813
Foxp1,0.26946156301301744,0.23075014615210565,0.1874199053281139,0.2509096858120395,0.20621419915603179,0.18981863010684139,0.16812798793022288,0.12386632310842997,0.12814065408927278,0.1075983361243694,0.14449794851892422,0.045677939198583414,0.08222028970119466,0.06254560256088887
Gria4,0.32775162895495424,0.17414109160390004,0.06375747922572232,0.35563706165709474,0.24606565884245946,0.46487759512083787,0.09316202163898676,0.01646955337053595,0.3711440138373641,0.2011691961946492,0.35243339241894844,0.10979702078796717,0.2615425319908294,0.08908599234372562
Cntnap2,0.10366547621489838,0.07517919627711801,0.09551369230713536,0.11788613557111717,0.05246210224249014,0.10855054703662183,0.12723670782866342,0.042826819134596475,0.15886981095569605,0.11748154488017244,0.06170777838249,0.1691794169099259,0.010249665531121697,0.05322633245522682
Atp1a2,0.28562737188062876,0.011545312589546984,0.11373049397592436,0.22253131946232818,0.3473306419736506,0.012828124757877243,0.050322901055513784,0.17541544882764007,0.04733578266249803,0.18540306321104147,0.11136645351255398,0.1256056727624414,0.1723183805698687,0.06076866088499048
Dlg2,0.010512212265256986,0.052730312417732836,0.1901600926970355,0.18075740502314652,0.04078888992233349,0.26899229455577184,0.000507745512992502,0.14019417796437555,0.32076353585958794,0.08889307419927465,0.13092312564630604,0.13910346360708734,0.1813215700696048,0.0487059587489863
Cav1,0.09253460557984534,0.12043674893544298,0.12639576740675335,0.02299571101015424,0.028784959767577657,0.023623868863665496,0.05723037441075523,0.06299415810985944,0.039879604654143586,0.057535964225187634,0.029642311690901067,0.005585521454918325,0.03381023114060698,0.06343556688551205
Dcdc2a,0.07995457775046454,0.08212116864876078,0.05690200581009312,0.09324302454410544,0.06613170319865304,0.06734499293851712,0.06987268975130202,0.04279025021009971,0.053782108906773894,0.04243637153190074,0.03994478763692831,0.02890959847933365,0.024634184168514022,0.015361158257669972
Casr,0.2082130575090729,0.4715763916695637,0.2681966244744708,0.2661122170825959,0.06600012568622873,0.2856091515993866,0.3248851696016421,0.12368993363747575,0.14229485266026243,0.34572924352039114,0.08381315305406298,0.2007310374323105,0.05728931259504044,0.14337801188819713
Igsf11,0.6359535152246977,0.4842949635997967,0.5888407634204805,0.4354717050031194,0.5401897103191252,0.041258113950378504,0.38747499888678505,0.4917682491370466,0.05524041514212713,0.0043852531142670095,0.14388680891884714,0.10207767513259584,0.047870431331123134,0.09779573422189203
Cacna1e,1.1494967147527415,1.2494593004625392,1.0781122158575627,0.7863236793528816,0.6169466699261862,0.7744303093862698,0.7151581003692911,0.5454162924319529,0.24085874711950975,0.7047483667615673,0.6028886655756172,0.17205238620867397,0.07026566920797388,0.5325743647272648
Hoxb8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcne2,0.14488921375150954,0.010604252111110652,0.13756367238635647,0.004445108832032584,0.13171746635258696,0.1057295831021341,0.0030084497118925226,0.12439192880575338,0.12038065437748181,0.11242925226766173,0.02024835991723716,0.1269878743919517,0.006749453178468405,0.013171746635258698
Kcnab1,0.05050819435945867,0.09346733200295973,0.11382335425402393,0.012806963071056287,0.006653158578614552,0.03796559431772258,0.049186376748807346,0.06904304442088868,0.0825402890089533,0.023601823071972422,0.0167577350912821,0.020796628942631415,0.06177303647408003,0.04544121987048607
Slc6a11,0.008057885384846758,0.012343380458442379,0.007761587227654404,0.0020957729986733785,0.006923277407407371,0.011649607081676592,0.013543029447462274,0.008874514544578578,0.010312648374352997,0.0038591129533119897,0.016816771356619416,0.005044308782966326,0.01558098825672921,0.0010551133215107517
Nalcn,0.10942679872320141,0.3352534331585058,0.15352131225684895,0.02852949499864662,0.14792504403196238,0.3931920144310544,0.07254751935883576,0.10369030533732058,0.131429440726494,0.438064130110813,0.2115618805198218,0.17646728580037224,0.045343793212832724,0.2568419356063989
Pias3,0.037623186284821385,0.005308898103456102,0.027858911442255746,0.014287934350480647,0.03665870873259638,0.012341907444052579,0.004540729305135173,0.0269456439976762,0.012982047966123027,0.0219781547263527,0.010575119923899392,0.02278899909170149,0.009781345355770776,0.0009218022143123387
Ephb1,0.20764861429775255,0.3623886930109176,0.14622491256999182,0.3993923562581449,0.18357915022991184,0.3035850590726398,0.33601286721083246,0.12103917313844058,0.2797277970002965,0.2405100017254762,0.08664633118382463,0.21558257604616823,0.06377620307696917,0.024152481326998293
Phox2b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jun,1.6824921988973084e-05,0.00010094953193383849,1.6824921988973084e-05,3.364984397794617e-05,0.00014301184184608982,0.00021872399009078032,3.364984397794617e-05,0.00014301184184608982,0.00010936199504539016,0.00021872399009078032,0.0001261869156229865,0.00010936199504539016,0.0,0.0001261869156229865
Pid1,0.04719673192562005,0.29585385234982114,0.2610508099727416,0.025402864811482732,0.009092435295110368,0.1250559476196392,0.23950873369580788,0.2056289216504741,0.179638540974087,0.08767904778409877,0.16083818114917803,0.03429946304953007,0.21458146780151785,0.05240040296954
Kcnd2,0.5561213209031887,0.7447466311087729,0.4922550084548266,0.927019067013477,0.665448748330389,0.21072506279702446,0.861620851106611,0.6012670523307277,0.3251662996735235,0.14505651543223175,0.039829153542220844,0.25900214148625045,0.06472237781320465,0.10448394943582835
Nrcam,0.5041119330546134,0.8971287799956503,0.47334543978956634,0.7695906732321648,0.3476207113317335,0.6095707086799345,0.7400127121901763,0.31970911614509817,0.4468674030582438,0.5801397929787762,0.1793914511754459,0.4193601393900698,0.026796606190573488,0.151124523138694
Scn10a,0.012088811074711115,0.0,0.01893537133557799,0.0,0.011998427507965575,0.0,0.0,0.018890179703843796,0.0,0.0,0.0067844215018648514,0.0,0.006857858244619711,5.6489770158377394e-05
Myc,0.0025139673918520666,0.0018834012523589404,0.0026882025351301323,0.0015764151260140179,0.0023895134635462502,0.0008545829431810382,0.0017423536042889406,0.002555451886141473,0.0009873337035290965,0.0006637537460605918,7.467229573582032e-05,0.0008048013941305912,0.00019082919712044637,0.00011615690695259604
Zfhx2,0.06509001947032754,0.09394573811480511,0.07889588044077961,0.05695529141692405,0.04229570540508046,0.023794382897671558,0.07074895734427647,0.055991805258420735,0.00015854791903047933,0.03790514859168942,0.00948848300948128,0.013696100671799553,0.013854649327443373,0.02361144333736916
Cacnb2,0.521289544041009,0.4697824585010334,0.1939669462339895,0.6686599837430046,0.39793422381385846,0.7160450603936498,0.34354176813257253,0.0723321289622217,0.5880479812887599,0.39124942593274026,0.4514485377453772,0.26436352816370823,0.3248135548006696,0.12543422997773368
Ucn3,0.10441460914983598,0.10137796409182094,0.09423680267645432,0.1120592263667825,0.10475113252972998,0.01734811437151582,0.10116067880631527,0.09446467658516264,0.01805825499944849,0.008958908448606005,0.00672514324117392,0.009639902138542255,0.007983789118327773,0.0012294982563141495
Snap25,0.13487139498683565,0.12232033167366446,0.13648941570012152,0.08692504350388772,0.10132266173735074,0.017112597005725226,0.08841508309816143,0.10280356069950253,0.01669209480099249,0.018319254306004562,0.031985564303978906,0.015777960426829486,0.001243222896093343,0.03321964595448505
Nrg1,0.5258735959129105,0.06448372935174716,0.3963383593738536,0.03539169827962214,0.4939426529825233,0.2994099885198369,0.09560354910023595,0.36256889384975843,0.32336494315134007,0.43045930382315034,0.15819467205850501,0.4561987108568613,0.13272562732252058,0.027523873044188296
Pclo,0.15161549652989628,0.18862614050547097,0.1543944111145318,0.15498422579786622,0.12082055004435227,0.05983180578334509,0.15727541567010264,0.12331590463478344,0.03153221236586467,0.06185077349404258,0.024624615549850827,0.03334701688073503,0.0020756816124978465,0.026949834143759382
Snca,0.01932297347735414,0.04449392011437815,0.011510996455825782,0.024607287588179545,0.005742287438941825,0.064442207027885,0.017244476800626976,0.013131519508916289,0.034550603851278845,0.05636601127173293,0.035017385160096615,0.026659362391444334,0.00796169939504052,0.027055685765056094
Akap6,0.11301423318566453,0.044131212544796294,0.0776963564844048,0.028684295179909933,0.1523788029995818,0.12472727696816319,0.005859004326768485,0.11652467690851809,0.08747791548723212,0.1581931201548773,0.00439921854929134,0.12082458844051402,0.033500595284705365,0.03804877236066289
Lrrc7,0.4121368288028951,0.05755739471801329,0.2978239695962998,0.2788882327753784,0.08296025858838649,0.08500386651752068,0.3920111472364143,0.03448270040465412,0.24831166986945155,0.02610130952946187,0.4486113824824753,0.3604257049244304,0.11462329165155981,0.3353332691590088
Ptn,0.011736429425762689,0.12905387433889817,0.15465849872812787,0.022067297947033642,0.05102184255747251,0.24988521267024166,0.18656471907637195,0.21633917192179583,0.19267890193649395,0.08590316577216231,0.22500679684445626,0.029587046624436984,0.16400547402671986,0.059759742970706894
Slc6a4,0.03052440972224532,0.011656017626560612,0.058724452219156065,0.051059168862183646,0.004187278926200373,0.04115497088264267,0.022525851580078315,0.02429476312399503,0.07529411378789858,0.01279256477022616,0.005246916892251338,0.04617115932448768,0.028917860876271805,0.033686231723501145
Kdr,0.23704577357761386,0.15212098314072922,0.19226814976010764,0.07723049906550315,0.11431383151162784,0.12736240591817843,0.03209592127123512,0.0694866282576305,0.006782084968680648,0.08234680612876627,0.1676186393129598,0.038164102278830866,0.04476770926102087,0.12288067372139486
Syt1,1.1608722884042357,1.1934099531093334,0.8634588514472739,1.216131258687282,0.8880832995407059,0.891388843094487,0.920203633000135,0.5934245288932426,0.6164128704508024,0.6000522532330147,0.5620888341932877,0.3273801395253191,0.2879976934186078,0.2711195070315273
Creb1,0.05859869614873504,0.06443141053189569,0.06284925701713195,0.07019327785941858,0.06761932994512795,0.010154116364481311,0.07418408467892061,0.07162194097557772,0.0013342036768165912,0.005844520575013047,0.01231481785036781,0.0024322650941717133,0.0037782758542478077,0.008076064560456567
Tacr1,0.1137785963356941,0.13815318670005908,0.10925307582627765,0.1109251875531061,0.0818171018062489,0.07141838606630319,0.10659932359177457,0.07749123784491739,0.03545546458124212,0.06825717692798118,0.040696416867553285,0.03198645229580187,0.0036021155342765235,0.03752688940424045
Cacna2d1,0.12730966821625941,0.37000948758689606,0.6011051210908364,0.32886928917622066,0.09760547985779536,0.47135689915589735,0.14337052991966898,0.3752229607608988,0.6988577563293328,0.0023334499626472887,0.24494917507758823,0.22800540048802323,0.47085237347590175,0.2251043513761604
Kctd8,0.11278967429396729,0.04669569309436661,0.045416539820314766,0.1926510518807479,0.18952569567849228,0.00722655724546362,0.12497460123046861,0.12215255014265791,0.07094686081828286,0.0751799330251262,0.008690330591092199,0.0032176641362294416,0.06765007177143584,0.07647227463238157
Kctd16,0.47179232118083103,0.5942217253564608,0.42961711024471155,0.6099841923675393,0.44098835748516574,0.2502822771875389,0.564548327360938,0.39846905894555745,0.2154967303293334,0.20530520023385967,0.077255707697787,0.16999533006294792,0.04219161124483896,0.035309872919874016
Plcb1,0.06476281285256867,0.015935114528912366,0.01082333695646643,0.060564343144608526,0.03820883322936193,0.13346510857649976,0.013331515763487681,0.03728189662126973,0.09670119935024879,0.05907851667318739,0.10892857087724817,0.022818974788836863,0.07579062144251011,0.03272900708257627
Gabra2,0.42673195293484056,0.04381169556397814,0.36128633522287174,0.12262440091846327,0.2014733695127619,0.028257032643404446,0.18813044384550934,0.1354718073790137,0.2599091026328361,0.09425859558822933,0.29159855920332806,0.3259469280063978,0.06630371254143588,0.22545196033186013
Slc4a4,0.2303705990236662,0.029150411011609815,0.055775841636594346,0.14840374384287316,0.17798854764155908,0.2012835429703342,0.02623627576215061,0.0031494389595489998,0.14530860375395513,0.026824532759839825,0.22793612637101932,0.029838219076726676,0.1751558707192016,0.053142257738951024
Neto1,0.006710252190102841,0.06735573854216423,0.033217473798170055,0.018956750141969705,0.05415392312193699,0.04205705220221429,0.021063055713299673,0.014479411457557701,0.005098870931463391,0.08184665896930303,0.007907278102431992,0.03495546337737741,0.03982413792410939,0.047455181446243375
Gria1,0.018035043922172755,0.04821099800269049,0.01521391978044682,0.11302129332330317,0.08050279730247636,0.09792071556445578,0.14596798980092957,0.11362581509544746,0.0010327330051096352,0.0652636866497209,0.13144676195868096,0.03327415246195453,0.031989534187766365,0.09930609098895747
