,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a,Scn10a_Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn9a,Scn10a,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a,Scn7a_Scn9a,Scn7a,Scn11a,Scn11a_Scn7a
Cd36,0.15567729555856932,0.13476864916488188,0.08532958700424344,0.08447640266904953,0.14779958386279304,0.0856139817826414,0.07305514256955373,0.06455744674516348,0.0935599503627936,0.0683341991725351,0.08277004163280605,0.0007508002300931097,0.012644158410021492,0.01148951927411502
Cftr,2.0770138720439144,1.6887913922551148,0.4076569130112611,2.066043449926399,1.7065236466055484,2.0943284864112286,0.021322068337614263,1.6740608603840543,0.43662273278185193,1.6955996404682552,0.04129796940989609,0.023998931913260472,0.39014124580075554,0.4218458212741778
Mc1r,0.008556522568910992,0.006537368146831994,0.0024030782502151827,0.011563925622121751,0.002637698354686215,0.009605203321545195,0.004244490460386318,0.00974384252623704,0.009875371440894854,0.008428548035872077,0.011265317869432204,0.005069215398503357,0.0019409477969284678,0.0037005983132718675
Mgll,0.02658288611527059,0.03534069388875953,0.03859447972583759,0.06157432922037496,0.005181297764277572,0.021945360004310195,0.03039370379626841,0.07078749303687944,0.08042948064792445,0.033077193148597916,0.07122958147224874,0.03761303871174615,0.008620759794829146,0.048196679348031186
Ccr2,0.4305380779867104,0.4085178214624897,0.10759408480125175,0.35325766971421085,0.3562280187226209,0.30426170933517965,0.09948445689321017,0.33128890513403697,0.09307321842610304,0.281293010279442,0.07855970578738662,0.01385915246115309,0.007028833120313129,0.0053304432846531516
Iapp,0.06529904928236048,0.030277651303871188,0.06611306559622188,0.04395686186022063,0.001707562199710983,0.009323757472565097,0.031091667617732577,0.0008327289711288536,0.0346471388052576,0.03231736922307827,0.0024139782980152997,0.03157820514572205,0.044789588721590584,0.010058243410720629
Cxcl12,0.08560092842188072,0.009105366236834663,0.148648160096478,0.0335727617369617,0.057437209327555326,0.10035127210129485,0.05281461895016844,0.06073156911478416,0.2170782243227826,0.005907128197662613,0.12110487012458665,0.06896310047871021,0.09513447442082487,0.16420243725404216
Gpr39,0.17898144319650766,0.5401626197030733,0.886154166664012,0.706403744107624,0.29253349711043425,0.47248328091064484,0.5214508926722702,1.0728253397493523,1.1398116605813027,0.8309777633085355,0.7809943597561946,0.2518917083382974,0.36924118238062503,0.613585546246113
Dpp6,0.09721056325702473,0.6998499107135246,1.38530964438631,0.47575049103101547,0.9374415881714102,0.706607873106763,0.578584823737259,1.2747485875611027,1.128578272692729,1.5103790943780542,0.3207665138353898,0.25467561229471497,0.8087569526800511,0.5564206281985897
Nlgn1,5.892765131570203,4.553110021796303,5.424173501468895,1.804357540938717,0.9691088475087019,1.7935806347494851,4.039142025075825,0.46372991901758975,1.824128612632829,3.137449425714838,0.44671381127323573,3.6117131653674743,1.3887589015109094,2.2233593781251275
Foxp1,3.43421109975687,3.169705829664399,1.8064414971154095,5.521582545069529,2.885478994879233,5.235530965535658,2.0814257157894622,5.256900726601507,2.1023836129526257,4.977737002922185,2.3690668480053056,0.2801647406226577,0.2789284698823904,0.012127324589620708
Gria4,4.878688119616447,2.659919063871283,5.835539736713799,1.2769130505444501,1.210963334958557,0.18885945067446777,3.6081685356736553,0.9543717861205916,4.40537705184463,2.424910287664554,2.1757971721111655,1.4521331058020477,2.2407394766780433,0.7918612059158135
Cntnap2,5.436233548567774,4.776058436402664,1.3074732004224787,4.815292079225203,3.8271674038320187,3.8744697199780154,0.632154605741628,4.140921346144224,0.348363593767394,3.19279327292495,0.3323649528978298,0.970322549114296,0.6953631310269232,0.2692257805012104
Atp1a2,0.9287280777155873,0.4178124171405801,0.1768237730288258,1.2593137750788306,0.21450293130236223,1.054621620029543,0.33060218467037805,0.7477561589689031,0.02939929780641764,0.5498294060816291,0.5301420976654498,0.19279091528940348,0.5069485714494025,0.3068654610606398
Dlg2,3.4714336788717692,3.718146380512254,3.0888371105623587,0.11639663557221525,2.131292361341945,1.4463429550322875,3.3325025679565288,0.3654417760965338,1.491599865398652,1.2153177545811462,1.7243179968522118,1.607394673388024,0.24580982614455402,1.8389464197199623
Cav1,0.47892077291669916,0.167638418475914,0.2273468448079414,0.5564990695794985,0.13077450353004832,0.5237828226859584,0.08056309083436086,0.2509407825937661,0.19283457418304223,0.2219975078951339,0.11092768907133106,0.0219271150374336,0.3020308400144983,0.277674547059507
Dcdc2a,0.143325601469337,0.10043942031847462,0.0386906717002207,0.1713608183485078,0.1170720405564165,0.029058233509492295,0.003402388135458554,0.12351473772473381,0.17474021631220174,0.07615716845615478,0.20835029740806427,0.19185560878979488,0.04096659356493956,0.15252699274202444
Casr,0.16662958729134017,0.1727587542041365,0.005858888457531375,0.15426663860710488,0.2632402156554568,0.2453932718275977,0.012920941404538963,0.1602475800734298,0.09285291881072516,0.2509993176396379,0.09947032818359866,0.0847271995543173,0.006966148972120397,0.07894678160227649
Igsf11,0.002099813399821485,0.15992450274315576,0.3081016492053014,0.480044430778542,0.142690545991408,0.5017779779320206,0.4619008671534657,0.3159686926006389,0.30185059192875485,0.33680231517994236,0.4569464976669295,0.00904758288317569,0.16047605611577456,0.170781600514571
