tf,up_accuracy,down_accuracy,avg_accuracy,up_overlap,down_overlap
Pou6f1_Neurog3,1.0,0.6736842105263158,0.8368421052631578,127,12
Pou3f2_Ascl1,0.9899497487437185,0.6789473684210526,0.8344485585823855,128,7
Pou2f3_Myf5,0.9899497487437185,0.6789473684210526,0.8344485585823855,110,16
Pou3f3_Neurog2,1.0,0.6684210526315789,0.8342105263157895,129,9
Pou4f1_Ptf1a,0.9447236180904522,0.7210526315789474,0.8328881248346998,88,14
Pou6f1_Ascl2,0.9949748743718593,0.6701570680628273,0.8325659712173432,112,16
Pou2f3_Neurod1,0.9798994974874372,0.6842105263157895,0.8320550119016134,106,5
Pou2f3_Neurod6,1.0,0.6631578947368421,0.831578947368421,115,8
Pou4f2_Ptf1a,0.9396984924623115,0.7157894736842105,0.827743983073261,85,17
Pou3f3_Neurod1,0.9849246231155779,0.6701570680628273,0.8275408455892026,119,12
Pou3f1_Atoh7,0.9698492462311558,0.675392670157068,0.822620958194112,110,16
Pou6f1_Neurod4,0.9949748743718593,0.6421052631578947,0.818540068764877,118,14
Pou3f3_Atoh8,0.9597989949748744,0.675392670157068,0.8175958325659712,109,17
Pou3f2_Atoh7,0.9698492462311558,0.6649214659685864,0.8173853560998711,114,14
Pou6f1_Atoh8,0.964824120603015,0.6578947368421053,0.8113594287225602,104,23
Pou6f1_Neurog1,0.9949748743718593,0.6263157894736842,0.8106453319227718,117,18
Pou1f1_Atoh7,0.9698492462311558,0.6492146596858639,0.8095319529585099,115,17
Pou6f1_Atoh1,1.0,0.6157894736842106,0.8078947368421052,118,16
Pou4f3_Atoh7,0.9698492462311558,0.643979057591623,0.8069141519113894,112,16
Pou3f3_Myf5,0.9899497487437185,0.6210526315789474,0.8055011901613329,112,18
Pou1f1_Ascl2,0.7336683417085427,0.8736842105263158,0.8036762761174292,82,12
Pou3f2_Ascl3,0.9798994974874372,0.6263157894736842,0.8031076434805606,108,14
Pou3f3_Neurod6,1.0,0.6052631578947368,0.8026315789473684,107,16
Pou6f1_Ascl3,1.0,0.6,0.8,120,17
Pou3f1_Ptf1a,0.7989949748743719,0.8,0.799497487437186,72,10
Pou3f2_Neurog2,0.9899497487437185,0.6052631578947368,0.7976064533192277,123,8
Pou2f3_Atoh8,0.949748743718593,0.6421052631578947,0.7959270034382439,106,15
Pou4f1_Atoh7,0.9698492462311558,0.6178010471204188,0.7938251466757873,109,17
Pou1f1_Ascl3,0.964824120603015,0.6210526315789474,0.7929383760909812,99,14
Pou1f1_Neurog1,0.7788944723618091,0.8,0.7894472361809046,83,15
Pou6f1_Neurod1,0.9949748743718593,0.5736842105263158,0.7843295424490875,98,19
Pou6f1_Ascl1,1.0,0.5684210526315789,0.7842105263157895,123,17
Pou3f3_Neurod2,0.9949748743718593,0.5684210526315789,0.7816979635017192,99,18
Pou6f1_Myf5,0.9949748743718593,0.5684210526315789,0.7816979635017192,101,21
Pou2f3_Neurod2,0.9899497487437185,0.5684210526315789,0.7791854006876487,95,13
Pou6f1_Neurod6,0.9849246231155779,0.5684210526315789,0.7766728378735784,95,18
Pou6f1_Neurog2,0.9949748743718593,0.5578947368421052,0.7764348056069823,116,17
Pou4f2_Atoh7,0.9698492462311558,0.581151832460733,0.7755005393459444,107,21
Pou1f1_Neurog2,0.9698492462311558,0.5789473684210527,0.7743983073261043,108,19
Pou4f3_Ascl1,0.9798994974874372,0.5578947368421052,0.7688971171647712,106,15
Pou6f1_Neurod2,0.9798994974874372,0.531578947368421,0.7557392224279291,85,20
Pou4f3_Ascl3,0.949748743718593,0.5526315789473685,0.7511901613329808,84,22
Nr4a2_Ptf1a,0.9849246231155779,0.5157894736842106,0.7503570483998943,104,16
Pou4f1_Ascl1,0.9597989949748744,0.5157894736842106,0.7377942343295425,58,15
Nr4a2_Atoh7,0.9899497487437185,0.4816753926701571,0.7358125707069378,104,15
Pou4f1_Ascl3,0.9597989949748744,0.4842105263157895,0.7220047606453319,65,20
Pou4f2_Ascl3,0.9597989949748744,0.46842105263157896,0.7141100238032267,58,25
