,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
9030622O22Rik,-0.000116571784,1.7732382e-06,0.00014768541,-7.5250864e-06,-8.1673265e-05,1.6704202e-05,-0.00013844669,0.00014540553,-5.7816505e-06,0.00014825165,5.041063e-05,-0.00010442734,-6.645918e-06,0.00013789535
Iapp,0.0,0.0,0.0,1.7881393e-07,0.0,0.0,1.7881393e-07,0.0,1.7881393e-07,1.7881393e-07,0.0,1.7881393e-07,1.7881393e-07,1.7881393e-07
Stab2,-1.8000603e-05,-2.6904047e-05,-4.053116e-05,5.6363642e-05,-4.502386e-05,-5.8211386e-05,3.8951635e-05,-6.719679e-05,3.1888485e-05,1.4990568e-05,-8.498877e-05,1.449883e-05,-2.168119e-06,-9.387732e-06
Itgae,-1.0691583e-05,4.5612454e-05,4.851818e-05,0.000115163624,3.4324825e-05,3.8161874e-05,0.00010243058,9.339303e-05,0.0001623109,0.00016410649,8.2440674e-05,0.00014960766,0.00015196204,0.00021030009
Zfp617,8.165836e-06,-0.00012660027,-8.702278e-06,4.839897e-05,-0.00011974573,-2.026558e-06,5.9723854e-05,-0.00013506413,-7.647276e-05,3.9458275e-05,-0.00012946129,-6.67572e-05,4.8995018e-05,-8.523464e-05
Cxcl12,-1.9177794e-05,9.864569e-06,-1.9446015e-05,-1.3008714e-05,-8.836389e-06,-3.6910176e-05,-2.8178096e-05,-9.62615e-06,-1.7732382e-06,-3.220141e-05,-2.668798e-05,-1.6883016e-05,-4.5880675e-05,-2.0727515e-05
Rab44,0.0,0.0,-8.381903e-09,3.4458935e-08,0.0,-8.381903e-09,3.4458935e-08,-8.381903e-09,3.4458935e-08,2.514571e-08,-8.381903e-09,3.4458935e-08,2.514571e-08,2.514571e-08
Nr2c1,1.1861324e-05,2.503395e-06,6.711483e-05,9.6321106e-05,1.0311604e-05,7.814169e-05,0.000107228756,6.997585e-05,9.953976e-05,0.00016069412,7.736683e-05,0.00010728836,0.00017130375,0.00016367435
Arntl,1.9162893e-05,4.4345856e-05,1.218915e-05,0.00010505319,6.490946e-05,3.3587217e-05,0.00012293458,5.6296587e-05,0.00014841557,0.00011661649,7.888675e-05,0.00016775727,0.00013628602,0.00015965104
Ranbp10,-1.5854836e-05,6.592274e-05,0.0,0.0001758933,5.465746e-05,-2.3841858e-05,0.0001590848,6.556511e-05,0.0002450347,0.00017535686,4.208088e-05,0.0002322197,0.00015163422,0.00024437904
Foxh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100a8,0.0,3.8240105e-06,0.0,-1.9734725e-06,3.8240105e-06,0.0,-1.9734725e-06,3.8240105e-06,2.4866313e-06,-1.9734725e-06,3.8240105e-06,2.4866313e-06,-1.9734725e-06,2.4866313e-06
Sult1e1,0.0,0.0,9.828713e-06,4.1117892e-07,0.0,9.828713e-06,4.1117892e-07,9.828713e-06,4.1117892e-07,1.0259915e-05,9.828713e-06,4.1117892e-07,1.0259915e-05,1.0259915e-05
Vax2,-2.078712e-06,-8.1546605e-06,8.046627e-06,4.749745e-06,-1.02669e-05,6.0126185e-06,2.8125942e-06,0.0,-2.7492642e-06,1.276657e-05,-2.2277236e-06,-4.686415e-06,1.0650605e-05,5.2154064e-06
Zfp937,1.937151e-06,-3.6656857e-06,-5.722046e-06,6.854534e-07,-1.847744e-06,-3.3676624e-06,2.1755695e-06,-9.23872e-06,-2.8014183e-06,-5.066395e-06,-7.4505806e-06,-1.5497208e-06,-3.6358833e-06,-8.195639e-06
Ovol3,-1.409091e-06,-7.636845e-08,0.0,-2.8871e-07,-1.495704e-06,-1.409091e-06,-1.6866252e-06,-7.636845e-08,-3.6507845e-07,-2.8871e-07,-1.495704e-06,-1.7778948e-06,-1.6866252e-06,-3.6507845e-07
Cma1,9.769574e-07,9.606592e-06,1.0835938e-05,2.82377e-06,1.058355e-05,1.1811964e-05,3.9106235e-06,2.0443462e-05,1.2425706e-05,1.37211755e-05,2.1419488e-05,1.3515353e-05,1.4821067e-05,2.3324974e-05
Ascl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sdr16c6,2.8312206e-07,-7.799827e-06,1.3889745e-05,5.0683506e-05,-7.5167045e-06,1.4171936e-05,5.097408e-05,6.071292e-06,4.274212e-05,6.446801e-05,6.3534826e-06,4.3029897e-05,6.4758584e-05,5.6515448e-05
Otx2os1,-6.854534e-05,-0.000102072954,-0.0004095137,-9.5158815e-05,-0.00017568469,-0.00047427416,-0.00016152859,-0.00050759315,-0.00019875169,-0.00049877167,-0.00057691336,-0.00027000904,-0.0005646944,-0.00059869885
Zfp507,8.702278e-06,3.3199787e-05,-1.6748905e-05,2.5868416e-05,4.184246e-05,-7.987022e-06,3.4213066e-05,1.6450882e-05,5.853176e-05,8.702278e-06,2.527237e-05,6.681681e-05,1.7046928e-05,4.172325e-05
Zfp9,-0.00018593669,-6.067753e-05,-2.7269125e-05,-0.00018686056,-0.00025516748,-0.00020855665,-0.00036391616,-8.5413456e-05,-0.00024199486,-0.00020962954,-0.00027763844,-0.0004259348,-0.0003798604,-0.00026392937
Gpr39,9.275973e-06,-5.3845346e-05,2.0425767e-05,1.1719763e-05,-4.4353306e-05,2.8602779e-05,2.1252781e-05,-3.4809113e-05,-4.2535365e-05,3.175065e-05,-2.5246292e-05,-3.2916665e-05,4.1350722e-05,-2.2713095e-05
Csmd2,-0.00017929077,0.0032310486,-0.000114917755,-0.0037429333,0.0030944347,-0.00026845932,-0.0038428307,0.003121376,-0.0004849434,-0.0038154125,0.0030150414,-0.0005366802,-0.00385952,-0.0005493164
Ovol1,4.0233135e-07,7.2307885e-06,-1.7199665e-05,2.3171306e-06,7.63312e-06,-1.6789883e-05,2.734363e-06,-1.0136515e-05,9.432435e-06,-1.47894025e-05,-9.737909e-06,9.847805e-06,-1.4364719e-05,-7.845461e-06
Atf1,-1.0371208e-05,1.6570091e-05,1.7106533e-05,1.680851e-05,6.198883e-06,6.914139e-06,6.1392784e-06,3.3557415e-05,3.170967e-05,3.373623e-05,2.348423e-05,2.1159649e-05,2.348423e-05,4.863739e-05
Six6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vsx1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fam19a2,-5.507469e-05,-0.0006994009,0.000344038,-0.0019091368,-0.00078082085,0.0002861023,-0.002017498,-0.00032508373,-0.002588749,-0.0015513897,-0.00041651726,-0.002727151,-0.00164783,-0.0022050142
Npnt,-4.0456653e-06,-5.6102872e-05,-2.9176474e-05,-3.5062432e-05,-5.9895217e-05,-3.321469e-05,-3.835559e-05,-8.496642e-05,-9.049475e-05,-6.558001e-05,-8.876622e-05,-9.36985e-05,-6.887317e-05,-0.00012023747
