pathway,overlap,pathway_size,p_value,enrichment
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,4,21,0.02015989957383342,0.19047619047619047
GOBP_AXO_DENDRITIC_TRANSPORT,3,12,0.020700270612403773,0.25
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION,3,12,0.020700270612403773,0.25
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION,3,12,0.020700270612403773,0.25
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,3,12,0.020700270612403773,0.25
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,3,12,0.020700270612403773,0.25
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,7,55,0.020945972045950764,0.12727272727272726
GOBP_CELL_DIVISION,8,68,0.021687405092886206,0.11764705882352941
GOBP_AXON_EXTENSION,5,32,0.021877924106818672,0.15625
GOBP_REGULATION_OF_CELL_GROWTH,10,95,0.022378519951665905,0.10526315789473684
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,36,506,0.02270894631498847,0.07114624505928854
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,6,44,0.02329563444072452,0.13636363636363635
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION,6,44,0.02329563444072452,0.13636363636363635
GOBP_MACROMOLECULE_METHYLATION,2,5,0.02359122231103322,0.4
GOBP_TYPE_II_PNEUMOCYTE_DIFFERENTIATION,2,5,0.02359122231103322,0.4
GOBP_PROSTATIC_BUD_FORMATION,2,5,0.02359122231103322,0.4
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MAINTENANCE,2,5,0.02359122231103322,0.4
GOBP_LATERAL_SPROUTING_FROM_AN_EPITHELIUM,2,5,0.02359122231103322,0.4
GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,2,5,0.02359122231103322,0.4
GOBP_KERATINOCYTE_MIGRATION,2,5,0.02359122231103322,0.4
GOBP_TRIGEMINAL_GANGLION_DEVELOPMENT,2,5,0.02359122231103322,0.4
GOBP_CRANIAL_GANGLION_DEVELOPMENT,2,5,0.02359122231103322,0.4
GOBP_EMBRYONIC_BODY_MORPHOGENESIS,2,5,0.02359122231103322,0.4
GOBP_GONADOTROPHIN_RELEASING_HORMONE_NEURONAL_MIGRATION_TO_THE_HYPOTHALAMUS,2,5,0.02359122231103322,0.4
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION,4,22,0.023676979272789035,0.18181818181818182
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,9,83,0.024896993848719712,0.10843373493975904
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,16,184,0.024937890809001096,0.08695652173913043
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,6,45,0.025770821222755206,0.13333333333333333
GOBP_PIGMENT_CELL_DIFFERENTIATION,3,13,0.025913765970528205,0.23076923076923078
GOBP_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,3,13,0.025913765970528205,0.23076923076923078
GOBP_MAINTENANCE_OF_SYNAPSE_STRUCTURE,3,13,0.025913765970528205,0.23076923076923078
GOBP_MELANOCYTE_DIFFERENTIATION,3,13,0.025913765970528205,0.23076923076923078
GOBP_SECRETORY_GRANULE_ORGANIZATION,3,13,0.025913765970528205,0.23076923076923078
GOBP_VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION,3,13,0.025913765970528205,0.23076923076923078
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS,3,13,0.025913765970528205,0.23076923076923078
GOBP_RESPONSE_TO_GROWTH_FACTOR,20,248,0.02709337797067943,0.08064516129032258
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH,8,71,0.027405295126070126,0.11267605633802817
GOBP_RECEPTOR_CLUSTERING,4,23,0.027543667762221436,0.17391304347826086
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,5,34,0.027841270215650867,0.14705882352941177
GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,5,35,0.031174416525451717,0.14285714285714285
GOBP_SMOOTHENED_SIGNALING_PATHWAY,5,35,0.031174416525451717,0.14285714285714285
GOBP_ACTIN_FILAMENT_BASED_PROCESS,15,174,0.03152264390730936,0.08620689655172414
GOBP_SYNAPSE_ASSEMBLY,8,73,0.0317534929877528,0.1095890410958904
GOBP_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION,3,14,0.031763059390396385,0.21428571428571427
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,3,14,0.031763059390396385,0.21428571428571427
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_ABSENCE_OF_LIGAND,3,14,0.031763059390396385,0.21428571428571427
GOBP_ENDOSOMAL_TRANSPORT,3,14,0.031763059390396385,0.21428571428571427
GOBP_T_CELL_LINEAGE_COMMITMENT,3,14,0.031763059390396385,0.21428571428571427
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION,3,14,0.031763059390396385,0.21428571428571427
GOBP_CELL_SUBSTRATE_ADHESION,11,115,0.032139464500208575,0.09565217391304348
GOBP_STEM_CELL_PROLIFERATION,7,60,0.03218370470024024,0.11666666666666667
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,22,286,0.033627764881691766,0.07692307692307693
GOBP_CELL_ADHESION,34,487,0.0341612186017586,0.06981519507186858
GOBP_CORTICOSTEROID_HORMONE_SECRETION,2,6,0.03420429975116298,0.3333333333333333
GOBP_AMPA_GLUTAMATE_RECEPTOR_CLUSTERING,2,6,0.03420429975116298,0.3333333333333333
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,2,6,0.03420429975116298,0.3333333333333333
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION,2,6,0.03420429975116298,0.3333333333333333
