gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Foxn3,0.025515318,0.02836442,1.111618847202014,1,1
Unc5c,0.042969704,0.04553318,1.0596330932814133,1,1
Lyn,0.0006290823,0.0006594807,1.0466580318158436,1,1
Cav1,0.000641644,0.0006637871,1.0329001749024342,1,1
Fbln2,0.0015929937,0.0016366243,1.0267445222650504,0,0
Gpx1,3.0249357e-06,4.082918e-06,1.0144057705070917,1,0
Lox,0.00026643276,0.00027108192,1.0136451495321666,1,0
Ctcf,0.0017354488,0.0017290115,0.9957169482912483,0,1
Rara,0.0003017187,0.0002989769,0.9876393496668688,1,0
Slit2,0.04480362,0.04417038,0.9858443169476719,1,1
Ecm1,2.0489097e-05,2.104044e-05,0.9791216448043396,1,0
Gna14,0.0011685789,0.0011146069,0.9529984680811189,0,0
Rbpj,0.0017746091,0.0016310811,0.9186037061873585,1,0
Ifitm1,2.2433698e-05,2.1338463e-05,0.9105888025014234,0,1
Lcp2,0.00030758977,0.00027620792,0.8950650567580383,1,1
Smad6,0.000739336,0.00064331293,0.8689472482764582,0,1
Foxc2,3.4973025e-05,3.027916e-05,0.8417184821126387,1,1
Pde4b,0.021053791,0.017711163,0.8411939591326268,1,1
Thbs1,0.0014744997,0.0011841059,0.8025117863460088,1,1
Vcan,0.05237484,0.038573265,0.7364705749826638,1,1
Mxd1,0.00029096007,0.00021448731,0.7346460425221846,0,0
Slc2a1,0.00043118,0.00031739473,0.7344040214725346,0,0
Prf1,2.27876e-05,1.7225742e-05,0.7241479594410534,0,1
Mxd3,6.1690807e-06,4.917383e-06,0.6859154200900542,1,1
Meis1,0.021756887,0.014852285,0.6826161474227713,1,1
Ppard,0.0029503703,0.0020114183,0.6815201399837899,1,0
Id2,0.00046539307,0.00031548738,0.6764409685589882,1,1
Mest,0.0059028864,0.0038005114,0.6437304416968457,0,1
Emp1,0.00052911043,0.00033688545,0.6355005126007424,0,1
Il7r,1.637917e-05,1.1028722e-05,0.6345942872991058,1,0
Irf1,0.0001732707,0.000106304884,0.6099986056175823,1,0
Pura,0.0004568696,0.00027894974,0.6092340264564409,1,1
Nabp1,0.00010830164,6.493926e-05,0.5941288712593883,0,0
Ptch1,0.006925106,0.0041143894,0.5940407784691715,0,1
Sla,5.149655e-05,3.062375e-05,0.5833478580973417,1,0
Pitx2,0.0038722754,0.0022431314,0.5791303659946307,0,1
