,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli1,Gli2_Gli3,Gli2,Gli3
Cap2,3.7970414345426424,2.7593157507400647,2.363634086853205,1.3340033381617111,2.463641975446471,1.4396500862186186,1.0073215675359917
Cdh1,0.6592534112059423,0.502663943232094,0.41311417776802617,0.2499295500431701,0.4170650312173927,0.2684664652579548,0.16489696087827896
Thbs1,0.4672087336666391,0.4544003008107823,0.20873876124272364,0.19341905900026954,0.26846246449422656,0.2599305018501873,0.013974758618914658
Lama2,18.6751781079254,15.901356411093786,14.848189780876389,12.053608858520363,6.582358828471705,3.781697083726409,2.7998230207315222
Klf10,0.02223071940048076,0.01983664087253125,0.019775385824381778,0.01850943377482196,0.003833586547266163,0.0024349145415822953,0.0008371613684720049
Slc1a2,5.785681045771048,7.201366868899896,6.20207641792227,7.543032978620705,1.8491958939476072,0.39334235585622385,1.4091570562564821
Vcam1,0.15343113676703138,0.04260918121060963,0.2380210695411152,0.13376902195661072,0.026355801983310695,0.08034330057954256,0.10186212736645751
Sell,0.1215345157882621,0.014444676451960282,0.16006300962560013,0.06599372058099504,0.07060282482709414,0.04309550604454906,0.10513254860557457
Mxd3,0.0034836538235599214,0.00399316786008518,0.001955111713984147,0.002002508447138386,0.0026068157511761666,0.0024527765970402387,0.00045026818966104385
Unc5c,9.883721691904835,9.227147582129927,5.142408683727926,4.426919538500771,5.5195941112521325,4.852895822053688,0.7167814451632547
Vip,0.1487398601434701,0.04091895313231766,0.10028882727979536,0.08399603195884893,0.24763979271889117,0.04784205498415623,0.20017167313045925
Igfbp2,0.6299067210115314,0.5123238367123225,0.7767747137923504,0.6588932320827176,0.04884909651693255,0.15448789514338077,0.10054043663539555
Ecm1,0.02214541519542716,0.014772325467304968,0.012305913944157115,0.002727869001840468,0.019295532742521448,0.011983450178584086,0.009621620945069747
Thy1,0.0035102600342063906,0.005302611271261691,0.009837890099153649,0.00029204445862387877,0.005611834860897521,0.003498807203340492,0.009425592261451623
Smad2,0.12538807507315594,0.08170054554903625,0.11953516351074081,0.08264744130243824,0.21495882207317152,0.008906299689521523,0.20114651578406134
Adgre1,0.05370916832274462,0.07269332774486433,0.04834690021638163,0.07618168782469965,0.12628718552624701,0.006191113335939514,0.1351089710831166
Il2rb,0.1989605693305206,0.14462151103725365,0.13892060262706687,0.08149054314740954,0.10924940618328732,0.059131911655738015,0.056449836947588865
Pmp22,0.10937123856699572,0.3188913559983481,0.0046922435177307875,0.19816145498904839,0.09398793141325477,0.11900368957046323,0.20548593798276707
Shh,0.002711083899318861,0.0003259226601043404,7.407333328799801e-05,0.0017110940003446278,0.004029589483575513,0.0012296173528623543,0.0016888720220316893
Il18r1,0.18803973540235894,0.1600198915440196,0.3739102822868233,0.03894283741098731,0.23780288503878322,0.12703271582215006,0.4303543059824717
Olr1,0.05432670278593322,0.007901034451014238,0.14503868380060814,0.08746647644680529,0.047187410649539456,0.10809830808621776,0.05874723062516565
Ctcf,0.008820648701121916,0.2714386765232798,0.17382429607157693,0.08760725460777094,0.08703199552181727,0.17447146304594438,0.2598256219128548
Dapp1,0.46268564592559824,0.5832828838628861,0.07121277408209535,0.19590020952898954,0.27837567829197946,0.3964281154931682,0.12293210950743073
Slc7a5,0.08132475939140552,0.07266688841162272,0.06923665624394677,0.061184504233891206,0.020146839904619032,0.013536569448823576,0.007729539167558595
Tgfbr3,8.990016170561557,6.050567167000266,7.688053761522783,4.748715541507473,4.1944612760648665,1.2872179095493614,2.906328675716392
Foxn3,6.124815186068343,4.592383388389325,3.246409648162803,1.6865808661527089,4.450704839532636,2.9203197009190394,1.552106255048834
Eng,0.28049102074470106,0.05035631043877641,0.20481529639176252,0.4431514475328191,0.7059771629308226,0.4814218718794362,0.22580003591453285
Aplnr,0.03009817714707251,0.03526120640304443,0.003825220359395498,0.004089730284401105,0.0268375838348833,0.03170049760720471,0.0006765349716104115
Zbtb17,0.05721418521166804,0.05673394338741515,0.0036225770515000556,0.004642353151914479,0.05646121390462397,0.05553037061328582,0.0007055428363142061
Cdkn1c,0.015641503848104615,0.014318876662182723,0.01030991989547269,0.008379377081174057,0.0071224706154762165,0.005323368965973493,0.0023166513220279185
Heyl,1.4617645442176483,1.051391603479562,0.7934949256388548,0.3984460772836232,1.0433339537828745,0.6467494035832121,0.38197184812822926
Cxcl12,0.1393418141552377,0.14416538130492476,0.412817376595377,0.12337684138057015,0.016602875046712103,0.2693073648478963,0.2918086355491108
Atf1,0.3443220881983411,0.12462206061288339,0.20591930919618562,0.015730740718271,0.3630798572170577,0.14410598203627112,0.2206220077197668
Ccl22,0.4097842595090119,0.3004296786366248,0.35227382701173493,0.25821769831338354,0.158869940605541,0.03524294464113584,0.11616799096549635
Tnc,0.14252747525242127,0.8263617541700112,0.6535166233461562,0.31869397089385504,0.4657916787285196,0.5020080860618661,0.9727685665002108
Prkca,4.414244386621974,3.381396933503943,2.4083509377223598,1.3197897760788084,3.0961029565694487,2.095628682022838,1.0540780282568074
Atf5,0.01999526826504171,0.004801468519940448,0.025447782882615642,0.0008056701738795177,0.017098111164477844,0.006884817725393729,0.023014497464652412
Spp1,0.17626280942995634,0.0760473173857346,0.16712521074090878,0.07235252295100517,0.11529867967868358,0.010166535340208761,0.10194596464213634
Smad6,0.013371610418218223,0.22006945631231106,0.09192343601840204,0.10582309616715697,0.1077308942271585,0.10564423987576511,0.2043727126770916
Ntm,10.936538186897318,4.0216597318361735,8.114836200918212,1.2414553666345742,9.757959466124962,2.857144784347144,6.864551612361646
Trp53,0.035954939829592664,0.02449312499416939,0.0210581679872187,0.008932681488507753,0.028466195543215896,0.01608958858903412,0.012690506018846342
Cav1,0.5861530363965238,0.08542142499145886,0.2877917644345246,0.20963201132112777,0.8031112723955597,0.27819139434741363,0.5090269431741126
Cdh6,10.90763059869508,9.917991299197874,6.0817906213357285,5.071161402465563,5.768251041196476,4.754211235549484,1.005381482247066
Ifitm1,0.0043414389687009254,0.037678620094343925,0.02268956535506783,0.010425791749016191,0.010584238845823931,0.02385414811398808,0.03305197805269739
Vegfc,2.5378742173382376,1.9889313234041468,2.310523537697525,1.723457138749938,0.8063729698604962,0.23899733906593712,0.6038028123295541
