,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Zic2,-0.00016897917,-4.4882298e-05,2.9981136e-05,-0.00021728873,-0.00013813376,-7.688999e-06,-0.00018060207
Irf2,-9.834766e-06,-4.8696995e-05,9.745359e-06,-5.838275e-05,5.364418e-07,-3.963709e-05,-5.0634146e-05
Car6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10130,-0.00015452504,-2.5182962e-05,-1.6659498e-05,-0.00018209219,-0.00017306209,-4.310906e-05,-0.00020113587
Zfp936,-1.989305e-06,2.8118491e-05,-2.2124499e-05,2.6457012e-05,-2.2381544e-05,5.7443976e-06,5.4761767e-06
Col8a1,0.000523746,0.00023499131,0.00017015636,0.0007687807,0.00067941844,0.00040636212,0.00092577934
Ccdc162,-0.0009690821,-0.000741899,-0.0003489554,-0.0017157495,-0.0013084114,-0.0011076331,-0.002079457
Relb,-0.00014865398,2.2262335e-05,0.00025227666,-0.00012218952,0.00011345744,0.0002746582,0.00013801455
Smoc1,0.0015220642,-0.0010637045,-0.0015313029,0.00044292212,-1.0967255e-05,-0.0026116967,-0.001106739
Pax3,-9.763241e-05,-0.0006028414,0.0005290508,-0.0007388592,0.00039947033,-4.351139e-05,-0.00020551682
Ube2o,8.100271e-05,-2.9176474e-05,0.00030836463,3.6627054e-05,0.00043582916,0.00027510524,0.00038653612
Pip5k1b,6.6161156e-06,0.00040122867,0.000408113,0.0004069209,0.0004067123,0.00082039833,0.00082066655
Mptx1,5.3673284e-07,5.6577846e-07,2.6996713e-06,6.9872476e-07,4.4243643e-06,2.4510082e-06,3.4669065e-06
Zfp335,-0.00018137693,-3.167987e-05,-0.00011500716,-0.00021246076,-0.00029751658,-0.000143677,-0.00032535195
Keg1,7.852912e-06,1.5580561e-05,-5.357433e-06,2.390286e-05,2.9546209e-06,1.4394522e-05,2.0940322e-05
Panx3,-6.839447e-05,-3.1827018e-05,0.000164859,-9.8792836e-05,0.00010946393,0.00013455376,8.0842525e-05
Lcor,-0.0009536743,-4.5657158e-05,-0.00042182207,-0.0010121465,-0.001347065,-0.00045132637,-0.001383543
A430033K04Rik,-0.00015616417,-6.735325e-05,-0.00036418438,-0.00022506714,-0.0005275011,-0.00043278933,-0.0005966425
Zfp11,-0.0004916787,-1.66893e-05,0.00027912855,-0.0005069077,-0.00022003055,0.00026237965,-0.00023758411
Ebf4,0.0004390478,0.00020581484,-0.0006187558,0.0006468296,-0.00017467141,-0.00040769577,3.4749508e-05
Gm21994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cntnap5a,0.0023577213,0.0011508465,-0.005571842,0.0036141872,-0.003201723,-0.0043752193,-0.0019083023
Cxcl13,-2.5957823e-05,2.1584332e-05,3.696978e-05,-3.2782555e-06,1.0885298e-05,5.8574602e-05,3.354065e-05
Crygd,0.00031386688,-0.00011527911,-0.00010939501,0.00019986648,0.00021354575,-0.00022664573,9.910762e-05
Xcr1,-1.9656494e-05,-4.807394e-05,1.1445954e-05,-6.78869e-05,-1.1075288e-05,-3.3132732e-05,-5.548913e-05
Rgs22,-0.000526458,-0.00039064884,0.00023114681,-0.0009113252,-0.00038957596,-0.0001642704,-0.0007815957
Hsf1,-6.7293644e-05,6.9737434e-06,-4.2676926e-05,-5.942583e-05,-0.00010788441,-3.2424927e-05,-9.995699e-05
Zfp574,2.6494265e-05,3.2752752e-05,-8.5026026e-05,5.5789948e-05,-6.0737133e-05,-5.4746866e-05,-3.454089e-05
Ptprb,0.0006829351,4.5381486e-05,0.00023514777,0.0007234141,0.0009636879,0.00027688593,0.0009995401
