gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Egfr,0.00328663,0.00041672587,0.126755708519511,1,1
Preb,0.00017493963,2.0980835e-05,0.11925019394436603,1,0
E2f3,0.0003800094,4.374981e-05,0.1148260646587722,1,0
Pura,0.00052160025,5.477667e-05,0.10481562150037241,1,1
Lcp2,9.139348e-05,9.649433e-06,0.10443846254086327,0,1
Lgals3,0.00034083426,3.502518e-05,0.10246246236407083,0,0
Smad3,0.0001295507,1.3053417e-05,0.099987338252495,1,0
Tpm1,5.4836273e-05,5.543232e-06,0.09927654018025164,0,0
Ros1,0.00027391315,2.69562e-05,0.09805351253659565,1,0
Irf7,1.08946115e-05,1.1380762e-06,0.09567998080475347,0,0
P2rx7,0.00033849478,3.1501055e-05,0.09278803933303481,0,1
Itpr2,0.0010388047,9.5933676e-05,0.09226124482799511,1,1
Meis2,0.009994507,0.0008548498,0.08552340566616581,0,0
Mxd1,0.0010393858,8.493662e-05,0.08163954179305409,1,0
Pmp22,9.700656e-06,8.1956387e-07,0.07659005859080041,0,0
F2,0.0002259165,1.3485551e-05,0.059429574314780985,1,1
Nabp1,6.401539e-05,3.5762787e-06,0.05500664842585733,1,1
Ncl,1.6868114e-05,3.5762787e-07,0.02001486390785284,0,1
Mylk,0.0017034411,3.3706427e-05,0.01977564786486315,1,1
Slc2a1,0.00032156706,3.2186508e-06,0.009978237703502644,0,1
Cxcl10,0.0,0.0,0.0,0,0
Ccl5,0.0,0.0,0.0,0,0
Xbp1,0.0,0.0,0.0,0,0
Il18rap,0.0,0.0,0.0,0,0
Prf1,0.0,0.0,0.0,0,0
Hes1,0.0,0.0,0.0,0,0
Gli1,3.799051e-05,0.0,0.0,0,1
Fmod,0.0,0.0,0.0,0,0
Hey1,0.0,0.0,0.0,0,0
Igfbp1,0.0,0.0,0.0,0,0
Lamp3,0.0,0.0,0.0,0,0
Atf4,0.0,0.0,0.0,0,0
Gpx3,0.0,0.0,0.0,0,0
Cxcr6,0.0,0.0,0.0,0,0
Jun,0.0,0.0,0.0,0,0
Egr3,0.0,0.0,0.0,0,0
Cdkn1c,0.0,0.0,0.0,0,0
Gpx1,0.0,0.0,0.0,0,0
