,Gli2_Gli1_Gli3,Gli2_Gli1,Gli1_Gli3,Gli2_Gli3,Gli1,Gli2,Gli3
Zbtb17,0.017424841570397573,0.016949834344902628,0.01618190688249645,0.0017179421790392642,0.015603981513358664,0.001227101556456617,0.0006254259588656824
Cdkn1c,0.000899642442860848,0.0005843038720947899,0.0007976211778989144,0.00041735990419333415,0.00047300788104557537,0.00011129597237684844,0.00032461325950860684
Heyl,0.576607919918461,0.4152234830365799,0.5825725557266175,0.1560255693616304,0.4285495889619096,0.011255499325790348,0.15917785413345184
Cxcl12,0.005569336097803028,0.011026726323385106,0.007491083483387076,0.0069966536377321815,0.012967131249997654,0.0017631567217169096,0.005261483540583
Atf1,0.024664924596841404,0.013571340348011282,0.012651567118574812,0.022938004455404046,0.0019521706768221342,0.011950787955087031,0.010705653541034681
Ccl22,0.03565091473276769,0.028082615501383062,0.0008450043156703807,0.04314114135674578,0.007471858397095326,0.03526974419199132,0.008532706588064135
Tnc,3.6348054968470147,2.9693080334995487,2.833321115627512,1.4737653560803672,2.1747814411959094,0.8020408782647247,0.6603487509107833
Prkca,0.3104287389551611,0.32497167955334555,0.1589509095420715,0.13138382645652424,0.1737761120200734,0.1485477286681574,0.017311750773214264
Atf5,0.017772381686220196,0.01525428820683564,0.01064943990775844,0.009635207572845476,0.008597659021516902,0.007187060395673916,0.0020576093535869832
Spp1,0.00816396899358607,0.021020382028061415,0.0234842820814408,0.026183540411931633,0.0364510176103942,0.00019122810262361332,0.025139140821302013
Smad6,0.208652118542749,0.16036523846395437,0.14060230447319955,0.13988328095099245,0.09065396847764899,0.07868870497810886,0.0628281010957941
Ntm,1.5406946189717896,1.434955259954451,0.7019094066651901,0.9414828776087911,0.5973147467506361,0.8360378658698809,0.10305748039772233
Trp53,0.03995929645195072,0.021334293677762767,0.03047129395450067,0.02808009852590602,0.011341726845228798,0.010025472842163005,0.018120438807155494
Cav1,0.08040533942784439,0.04900993755867822,0.05101389917276991,0.06180334326238121,0.020918167312025542,0.028578238370043134,0.03205612858347641
Cdh6,0.04480370438371132,0.25563318065921325,0.019650435381084463,0.13473062987120607,0.18592472077373154,0.07173207918088167,0.19969955079292115
Ifitm1,0.04878073318653709,0.03219897890475119,0.04738091304752059,0.016190305630852567,0.03007889437782273,0.0045470645487074735,0.01174658330541044
Vegfc,0.04866710960089739,0.003640487962567092,0.06052977218184337,0.15103585532735173,0.10190702552284363,0.10558303303683553,0.04193664650124165
Slc2a1,0.30640107624626106,0.20422175793586667,0.16808048080905613,0.2347344071876809,0.06525105189179788,0.13816662126814855,0.09821874010644781
Krt18,0.0005986446999957695,0.0007100204511816795,0.0028888087892993126,0.004100020195560594,0.00313940422946761,0.0043436547447085316,0.0001044147742110913
Meis1,0.4148932390868531,0.3030958503416883,0.2753444826692168,0.24454024225154083,0.1637077977861724,0.13480873381011124,0.10838869924125866
Wnt2,0.004397443897876885,3.634251131082669e-05,0.004397443897876885,0.004385329696005172,3.634251131082669e-05,0.0,0.004385329696005172
Fbln2,0.05047874288567437,0.046625080306628125,0.027326519616740663,0.030859548427026175,0.022934433788355375,0.02551765732470582,0.005983158639841802
Tfdp1,0.11045207663154016,0.0817099708085962,0.024948633582789488,0.11439267466304422,0.0030961893192239225,0.08504285230248686,0.02879967939791375
Egr3,0.05730693563859957,0.0,0.05730693563859957,0.05730693563859957,0.0,0.0,0.05730693563859957
Ly6e,0.0029312720065768384,0.0008303603397048413,0.002871245936892296,0.0020208768961029414,0.0007803386037780567,4.0017365243128514e-05,0.0019508465933676387
E2f8,0.06679477027196497,0.1089621761114316,0.07631082532947253,0.09877469302796978,0.029302494804992866,0.13967384246821202,0.04173636955358674
Jun,5.8661133747397936e-05,8.799170226138112e-05,5.8661133747397936e-05,4.888427866959302e-05,8.799170226138112e-05,0.0,4.888427866959302e-05
Col3a1,0.4040644718820775,0.5086716671350913,0.46270572290793704,0.1587009497247243,0.5650319570177119,0.05744301423981574,0.09787977581113742
Nrcam,1.0413936734639229,0.937239034430936,0.4706786541942714,0.6862656357714628,0.35887586129433535,0.5756830881013638,0.11805643431982091
Ros1,0.20086344500197398,0.09605056490315758,0.18460571478293303,0.11919534529290517,0.07887196810855422,0.01609586454405401,0.10315529209734846
Spock1,0.8413195683472868,0.7894484556103356,0.5600711718651014,0.32689994051446186,0.5095061688169991,0.27807643444263525,0.04701985749505389
Ssrp1,0.019004012172827985,0.01884925700935914,0.01744871711987629,0.0014082777774748678,0.017317174555871187,0.0014392289399872103,5.416453050204218e-05
Slamf1,0.14803641674839202,0.31607272375369266,0.19370401390345202,0.21548090919158253,0.36057888483061157,0.045203023222635814,0.17006882388328923
Atf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cxcr6,0.039464808594720444,0.032247874663403446,0.03911560192808967,0.008980874278062405,0.03189866799677267,0.00034920647434482407,0.008636144605186953
Id3,6.415273381822276e-05,0.0,6.415273381822276e-05,6.415273381822276e-05,0.0,0.0,6.415273381822276e-05
Col1a2,0.09557261712508217,0.013621606995960989,0.006227863531301196,0.17069068654473107,0.07653483312809137,0.09121901835253271,0.08001771610769348
Myc,0.0012258572125255197,8.454187588744828e-05,0.0013103990640979286,0.0010748895104353258,0.00016304504693329404,9.058058072905079e-05,0.0011533927220062372
Fap,0.37589400472084705,0.023543443636771983,0.20479570834726316,0.5179141375101352,0.15140421336200066,0.16890313963613882,0.3517159520265513
