,0
711,Zfp423
712,Zfp970
713,Tef
714,2410141K09Rik
715,Zfp329
716,Satb1
717,Gbx2
718,Helt
719,Zfp988
720,Zhx2
721,Srf
722,Hoxd8
723,Zfp39
724,Hmgb1
725,Zfp296
726,Onecut1
727,Nkx2-2
728,Pou6f1
729,Klf2
730,Foxa2
731,Sox6
732,Gcm2
733,Rfx4
734,Setbp1
735,Zfp951
736,En1
737,Bhlha15
738,Zbtb42
739,Zbtb17
740,Zfp667
741,Sp4
742,Ppard
743,Zfp580
744,Hes7
745,Creb3
746,Atf6b
747,Atf4
748,Rfx1
749,Zfp273
750,Zscan4d
751,Nfe2
752,Rreb1
753,Hoxd3
754,Zfp637
755,Runx1
756,Zfp62
757,Pknox2
758,Zfp617
759,Zscan2
760,Sox2
761,Klf13
762,Ltf
763,Sim2
764,Gm35315
765,Id4
766,Sox9
767,Otp
768,Zfp87
769,Msgn1
770,Zfp30
771,Fiz1
772,Erg
773,Nkx6-2
774,Sox18
775,Zfp874b
776,Cebpz
777,Zfp426
778,Nr1i2
779,Zfp950
780,Zfp709
781,Zbtb24
782,E2f8
783,E2f6
784,Zfp324
785,Zfp112
786,Klf6
787,Phox2b
788,Cebpd
789,Lrrfip1
790,Zfp386
791,Tbr1
792,Gm38394
793,Zfp993
794,Foxp2
795,Zfp459
796,Bnc1
797,Terf1
798,Zfp109
799,Gsc
800,Adnp2
801,Nkx1-2
802,Tbx15
803,Onecut2
804,Zfp967
805,Thap1
806,AU041133
807,Barx2
808,Zfp169
809,Msx2
810,Zscan4c
811,Sebox
812,Stat5b
813,Hsf1
814,2010315B03Rik
815,Nfe2l2
816,Bach1
817,Celf4
818,Hoxc11
819,Tfeb
820,Zfp260
821,Zscan4-ps3
822,Vsx2
823,Tcf7l1
824,Evx1
825,Zfp113
826,Max
827,Tcfl5
828,Gmeb1
829,Nfatc1
830,Hoxd12
831,Aebp2
832,Dbx1
833,Tlx2
834,Neurog1
835,Zfp991
836,Hoxa7
837,Esr2
838,Cdc5l
839,Trim66
840,Crem
841,Hmga2
842,Gm17655
843,Klf14
844,Zfp536
845,Zfp579
846,Zfp981
847,Zfp825
848,Hmg20b
849,Zfp397
850,Foxp1
851,Mef2c
852,Pgr
853,Sohlh2
854,Atf7
855,Zfp689
856,Zbtb34
857,Zfp969
858,Myf5
859,Nfkb2
860,Mybl1
861,Rfx5
862,Zfp706
863,Zfp382
864,Rara
865,Zzz3
866,Vdr
867,Zfp207
868,Hoxb3
869,Tlx1
870,Grhl2
871,D130040H23Rik
872,Zbtb43
873,Hoxc10
874,Nr4a2
875,Zfp978
876,Thap11
877,Tbx4
878,Zfp979
879,Hoxa3
880,Rfx8
881,Zfp628
882,Alx4
883,Zfp606
884,Zfp420
885,Zgpat
886,Alx3
887,Zfp995
888,Zbtb10
889,Arntl2
890,Hmgxb3
891,Gm28360
892,Gm14308
893,Ehf
894,Tbx3
895,Yy1
896,Esrp1
897,Foxo3
898,Mafg
899,Gzf1
900,Klf3
901,Rsl1
902,Tbx1
903,Ssrp1
904,Gtf2i
905,Zbtb18
906,Emx2
907,Zfp648
908,Pax5
909,Hoxd11
910,Etv3
911,Ncor1
912,Nr2f1
913,Mecom
914,Glis3
915,Zfp871
916,Ncoa1
917,Insm2
918,Gm14391
919,Srebf2
920,Six6
921,Pou4f3
922,Pou2f1
923,Lhx4
924,Tfap4
925,Foxi3
926,Hoxc12
927,Zfp612
928,Gm28557
929,Six4
930,Zscan26
931,Hoxc8
932,Zfp990
933,Zfp729b
934,Gm14406
935,Nfatc3
936,Foxl1
937,Slc18a1
938,Maf
939,Irx3
940,Hsfy2
941,Smarcc1
942,Hoxd10
943,Nr2e1
944,Myc
945,Zfp93
946,Arnt2
947,Ahr
948,Gsx1
949,Arnt
950,Zfp949
951,Zfp101
952,Obox5
953,Foxq1
954,Zfp467
955,Ebf3
956,Hmgb2
957,Zic2
958,Zic1
959,Klf10
960,Kcnip1
961,Barhl1
962,Foxd3
963,Hoxd1
964,Esrrb
965,Zfp879
966,Dab2
967,Mycl
968,Prdm1
969,Mlx
970,Six1
971,Gm4724
972,Sox7
973,Pparg
974,Foxa3
975,Ets1
976,Atoh1
977,Tal2
978,Foxk1
979,Zfp493
980,Zbtb4
981,Zscan29
982,Zbtb25
983,Lin28b
984,Gm14403
985,Zfp513
986,Gm14399
987,Hoxb1
988,Zfp235
989,Zfp653
990,Zfp119b
991,Tgif2
992,Duxbl1
993,Zfp668
994,Elf2
995,Zfp719
996,Zkscan3
997,Zfp882
998,Rslcan18
999,Zfp932
1000,Zfp654
1001,Gm14325
1002,Pax3
1003,Hnf1b
1004,Zfp623
1005,Hnf1a
1006,Zfp319
1007,Trp73
1008,Foxn1
1009,Mta3
1010,Zfp3
1011,Runx2
1012,Nfyb
1013,Zfp692
1014,Ikzf1
1015,Sp5
1016,Zfp938
1017,Gm15446
1018,Gtf3a
1019,Zfp148
1020,Atoh7
1021,Pou3f2
1022,Hmx3
1023,Meis2
1024,Nrl
1025,Ubtf
1026,Mesp2
1027,Elf3
1028,Irx1
1029,Mef2a
1030,Ptf1a
1031,Zfp281
1032,Gm14418
1033,Zfp472
1034,Junb
1035,Zfp710
1036,Zfp819
1037,Mylk
1038,Gm11007
1039,Gm10130
1040,Hoxa2
1041,Hmgb4
1042,Zfp708
1043,Zfp974
1044,Zfp626
1045,Pou4f2
1046,Zscan4-ps1
1047,Zfp354c
1048,Myod1
1049,Irf8
1050,Atoh8
1051,Zfp408
1052,Zfp58
1053,Foxe1
1054,Hic2
1055,AI987944
1056,Gm14444
1057,Foxr1
1058,Zfp110
1059,Zfp770
1060,Zfp442
1061,Gm3055
1062,Sp9
1063,Nr1i3
1064,Rfx2
1065,Bclaf1
1066,Sall4
1067,Smad4
1068,Hoxa13
1069,Irf5
1070,Pou1f1
1071,Zfp146
1072,Sox21
1073,Nr1d1
1074,Zfp729a
1075,Satb2
1076,Zfp503
1077,Hhex
1078,Zfp213
1079,Gm14419
1080,Fosl2
1081,Zfp943
1082,Gm28047
1083,Hoxb6
1084,Zfp748
1085,Phox2a
1086,Zfp629
1087,Elk4
1088,Duxf3
1089,Hes2
1090,Hoxd9
1091,Alx1
1092,Dbp
1093,Zfhx3
1094,Ets2
1095,Plagl1
1096,Zik1
1097,Nr6a1
1098,Zfp933
1099,Nkx2-4
1100,Isl1
1101,Mxd3
1102,Noto
1103,Tfap2d
1104,Zfp217
1105,Nkx2-6
1106,Tff3
1107,Lbx1
1108,Zfp780b
1109,Etv2
1110,Creb1
1111,Irf6
1112,Zfp422
1113,Nr2c2
1114,Gm10324
1115,Zbtb44
1116,Trp63
1117,Zfp583
1118,Zfp867
1119,Zfp119a
1120,Zfp595
1121,Etv5
1122,Zfp383
1123,Zfp738
1124,Zeb2
1125,Isl2
1126,Zfp592
1127,Zfp9
1128,Bach2
1129,Eomes
1130,Zfp433
1131,Hmgxb4
1132,Gli3
1133,Zfp202
1134,En2
1135,Msc
1136,Cic
1137,Carf
1138,Uncx
1139,Nfatc4
1140,Ctcf
1141,Zfp947
1142,Esrra
1143,Nfat5
1144,Scx
1145,Pou2f2
1146,Sall2
1147,Cux1
1148,Sall3
1149,Zfp534
1150,Snapc4
1151,Foxc2
1152,Gm14305
1153,Zfp811
1154,Nkx3-1
1155,Zfp994
1156,Jund
1157,Zfp965
1158,Gm14326
1159,Zfp12
1160,Zfp59
1161,Batf
1162,Zfp976
1163,Hivep2
1164,Zbtb7b
1165,Zfp326
1166,Zfp787
1167,Foxd2
1168,Zscan10
1169,Foxj3
1170,Zbtb46
1171,Id1
1172,Aire
1173,Pax1
1174,Zfp560
1175,Tcf7
1176,Zbtb1
1177,Zfp691
1178,Hoxb2
1179,Zbtb8b
1180,Gpd1
1181,Osr2
1182,Zfp831
1183,Nfe2l3
1184,Zfp317
1185,Dmrt1
1186,Zkscan17
1187,2610044O15Rik8
1188,Obox1
1189,Zfp84
1190,Hif1a
1191,Zfp989
1192,Zfp868
1193,Bhlhe40
1194,Foxa1
1195,Nobox
1196,Dlx6
1197,Hmbox1
1198,Rfxank
1199,Nhlh1
1200,Zfp869
1201,Patz1
1202,Irx2
1203,Nhlh2
1204,Gm5294
1205,Bcl11b
1206,Mitf
1207,Id2
1208,Zscan4b
1209,Tal1
1210,Pou6f2
1211,Plagl2
1212,Zfp334
1213,Egr3
1214,Nr4a3
1215,Tcf7l2
1216,Bcl6b
1217,Lhx8
1218,Prdm13
1219,Zfp11
1220,Zbtb45
1221,Zfp85
1222,Tgif1
1223,Zfp568
1224,Setdb1
1225,AW146154
1226,Hoxa5
1227,Zfp644
1228,A1cf
1229,Hoxb7
1230,Foxi1
1231,Dbx2
1232,Zfp942
1233,Klf11
1234,Nfya
1235,E2f4
1236,Trp53
1237,Tbx10
1238,Zfp605
1239,Arid5b
1240,Tead2
1241,Smad2
1242,2610021A01Rik
1243,Hlx
1244,Tbx20
1245,Batf3
1246,Npas4
1247,Meis1
1248,Zscan5b
1249,Pdx1
1250,Klf7
1251,Deaf1
1252,Lhx9
1253,Zfp512
1254,Hoxa6
1255,Jun
1256,Nr2c1
1257,Zfp54
1258,Glis2
1259,Egr4
1260,Pax8
1261,Hoxb8
1262,Gm10770
1263,Nfia
1264,Lcor
1265,Plg
1266,Creb3l4
1267,Klf5
1268,Zbtb12
1269,Smad1
1270,Myog
1271,Foxn4
1272,Zscan12
1273,Zfp597
1274,Zfp180
1275,Foxm1
1276,Smad9
1277,Atf5
1278,Dlx4
1279,Ikzf4
1280,Six3
