,Gli2_Gli3,Gli2_Gli1_Gli3,Gli3,Gli1_Gli3,Gli2_Gli1,Gli2,Gli1
Fbn2,0.2121040679070788,0.5656081182793623,0.25135490480756667,0.6087454239974149,0.3535204685650196,0.0032373519260980063,0.3551309402565263
Sele,2.9988044877613014,3.98996339966623,4.3746002730664335,5.425389308635556,0.2311130513263388,1.2396081449016354,1.0606690269769534
Lama1,0.6670307663800262,0.2793311966838468,0.1650641777216545,0.24101038356747262,0.12105742462820242,0.5172572558008661,0.40962521703920773
Nfya,0.3271265058211166,0.33868766673356765,0.2283851766991258,0.2389159552945278,0.11142891674638625,0.09979790536492035,0.010417262793344867
Hey1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vav3,1.6011014731051803,1.4672724310346117,1.1054579481162043,0.9664970291257784,0.37177895798922267,0.4997062638734221,0.1346558344980157
Has2,0.38992816907759714,0.5259405044802674,0.03588793596231344,0.1526507276569445,0.4655183104679997,0.34263309317925006,0.10603294584051556
E2f2,0.014438518767004648,0.03638948731636591,0.006253166271806674,0.01748098882188723,0.04585815682903503,0.023440962114406716,0.02367647822517825
Ccr7,9.4618151677131e-05,0.004753746595675957,0.027360960294388642,0.031126110105666294,0.01693338630310903,0.019687101369156596,0.002900535793485138
Vcan,2.293082742855069,2.7623483050487976,1.6235864828003106,2.0924924456194782,1.107483694325066,0.6272415009056586,0.48534419113361593
Igfbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egfr,2.7185175685896423,2.662721268149224,0.35749518563884136,0.2874722513715997,2.2272880667032187,2.2672336745627066,0.05929128243985394
Arid4b,0.036191704591978395,0.04811515487334616,0.016522494831238004,0.028777649830926656,0.03263259871184795,0.01948991019755455,0.013106829804918153
Prkcb,1.1286600723466524,1.044346735052553,0.43380492917754876,0.356642797716374,0.5384251739626906,0.61984046519006,0.07051128337392915
Postn,0.22428340091449017,0.26722622203201624,0.5245856111322243,0.5709324186833583,0.2876145409153944,0.33358049458128675,0.04664437710557117
Cap2,0.03847415394362078,0.11888430891879502,0.07087633060501865,0.23737480951846537,0.06144324925574376,0.09564046047209304,0.16628783525333968
Cdh1,0.1788681314083613,0.2727823221004276,0.12162755241081466,0.21489251836048917,0.17847661302944695,0.07990883461953706,0.09923681853202958
Thbs1,0.014043420351155913,0.015962825964694623,0.02180389440950793,0.023978760487402603,0.006400319669032831,0.007870943636185209,0.00175370147846001
Lama2,2.102935792409177,2.2605816187142835,2.000397238465583,2.182350377848742,0.22871277512573535,0.054787442542485014,0.19253963302849764
Klf10,0.08018796060595583,0.0693068587704542,0.02537665269688694,0.03764502370454644,0.09145598316077255,0.10111968500167007,0.01100378484892587
Slc1a2,0.12393747248130635,0.40016008440750017,0.02844669557972041,0.2452011048297626,0.38490928292368154,0.10883522690190628,0.27608644433395
Vcam1,0.6064593544873942,0.6058087608916416,0.15722412940779312,0.16053848179472388,0.4482721540440623,0.4491634930533449,0.0014343397222713057
Sell,0.00609571559108946,0.00229773087812299,0.01800304575053285,0.02191068331612023,0.014553957645384539,0.018596169154298084,0.004156849275406684
Mxd3,0.023199636977344822,0.027711816829445884,0.011995366576904629,0.016712645656194357,0.015821929821387755,0.011151530419388852,0.004559059686694365
Unc5c,6.323297262852111,5.1116149303075105,3.5410110869560056,2.332087143497939,1.5308709365825641,2.727735308566966,1.1972887509463606
Vip,1.0451921092110674,1.1013415164700253,1.084175783571638,1.1371261608443628,0.1021971429453766,0.15982999836922396,0.04594683345008823
Igfbp2,0.014931365530729664,0.04151064515019679,0.00036241177480912965,0.026811223324619427,0.041931042887775556,0.015699678218010812,0.026296598570827428
Ecm1,0.0006744843053535869,0.0008415584161032421,1.8563788053111053e-05,0.0001980137381258115,0.0006992360039323925,0.000680672209235043,3.0939646478341816e-05
Thy1,0.07955562269139088,0.07570395834188827,0.11304602454825076,0.10955857780880365,0.03290763754861645,0.02982994509201194,0.0029228975891717065
Smad2,0.00594777304536231,0.0021538241085151707,0.012186436102111354,0.0042828916777581565,0.01257016298001372,0.005465019179677579,0.006709038445124276
Adgre1,1.1428893353815714,1.1295241597201096,0.422156559656048,0.4109495667284059,0.6978015116328156,0.713919392084759,0.013924044269326537
Il2rb,0.045169188394553764,0.05911009510882188,0.02455982876170281,0.1288799249590151,0.03415032192848951,0.07069215019625255,0.10492409137780627
Pmp22,0.008305172741346277,0.004746880754890652,0.0022276700899170744,0.0004111471697344618,0.0011960644919487406,0.0048664874147851655,0.0026836697596203073
Shh,0.1608972155546282,0.19780481286788093,0.1612074289316239,0.1952726494592713,0.0510184774388951,0.015856704232198166,0.033242809407294724
Il18r1,0.04616485777560188,0.09705447886913514,0.009533893823448257,0.06303900493313339,0.10500642262333683,0.05759709334300658,0.05365979309451919
Olr1,1.9959734380600187,2.06136915413764,0.48272100944369367,0.5361206054506175,1.5724722793226547,1.5148038486080615,0.04653196835536113
