names,scores,logfoldchanges,pvals,pvals_adj
ENSMUSG00000024276,272598.0,0.10896738,0.0008335382621179282,0.0013009865195136622
ENSMUSG00000027667,189969.0,-0.15987702,0.0008548926252933571,0.0013337828963993121
ENSMUSG00000029769,272488.0,0.19424692,0.0008606222235076131,0.0013421854181161898
ENSMUSG00000074109,211560.0,-22.97762,0.0008629594030553615,0.0013452926850667283
ENSMUSG00000039205,190023.0,-0.2936877,0.0008684011115034493,0.0013532352783891608
ENSMUSG00000025498,270297.0,-0.9852405,0.0008790438219268747,0.0013692730511611437
ENSMUSG00000028977,272315.0,0.09952872,0.0009048736154654654,0.0014089452703696115
ENSMUSG00000062478,211800.0,-24.022943,0.0009340330216000696,0.0014531885732667741
ENSMUSG00000025952,211800.0,-19.810898,0.0009340330450417913,0.0014531885732667741
ENSMUSG00000027971,272155.0,-0.43683186,0.0009476657064489856,0.001473810915330387
ENSMUSG00000000282,272145.5,0.17836927,0.0009502612552685645,0.0014772587322939995
ENSMUSG00000020232,190393.0,-0.22578885,0.0009664166660570213,0.0015017753209695328
ENSMUSG00000031825,271938.0,-0.1278433,0.0009796090726431224,0.0015216698254193726
ENSMUSG00000027104,190481.0,-0.10402013,0.0009911901807352983,0.0015390465918142197
ENSMUSG00000022504,270329.0,-0.61116743,0.0010037710967716852,0.0015579613443130929
ENSMUSG00000027919,212040.0,-20.006453,0.0010108694554213015,0.001568354916522433
ENSMUSG00000034009,271910.0,0.06982063,0.0010156161716568845,0.0015750931247238327
ENSMUSG00000040721,271889.0,0.09666433,0.001022983703141506,0.0015855693197181122
ENSMUSG00000029193,268765.0,-1.7291619,0.001023183892119479,0.0015855693197181122
ENSMUSG00000055102,212100.0,-23.520975,0.0010310319299687808,0.0015970967013648999
ENSMUSG00000003184,271822.0,0.054657973,0.0010428087189812084,0.0016146982624859823
ENSMUSG00000040489,271513.0,-0.029300934,0.001049697108546446,0.0016247196023594732
ENSMUSG00000020644,271784.0,0.07024299,0.0010530254271420047,0.001629224907497265
ENSMUSG00000071847,271684.0,-0.11926847,0.001055950978036413,0.0016331037321831484
ENSMUSG00000059436,190735.0,-0.1713227,0.001066031429932296,0.0016480406654500075
ENSMUSG00000027360,271701.0,0.07718897,0.0010674363145570544,0.0016495590096640104
ENSMUSG00000007415,190766.0,-0.20595515,0.00107551521695242,0.001661385738934419
ENSMUSG00000059741,271708.0,-0.004435537,0.0010772449066549768,0.001663399139599414
ENSMUSG00000005800,190978.0,-1.6259669,0.0010828955411436975,0.0016714629752937929
ENSMUSG00000025821,271575.0,0.08037141,0.0011190064202163312,0.001726517616324288
ENSMUSG00000035831,212400.0,-23.317114,0.0011379476507773427,0.0017550481159419725
ENSMUSG00000022651,212460.0,-22.388681,0.0011606072602715436,0.0017885822088054457
ENSMUSG00000030724,212460.0,-23.374832,0.0011606074199629393,0.0017885822088054457
ENSMUSG00000048763,271378.0,-0.042184304,0.001183198838495829,0.0018226774053733618
ENSMUSG00000048399,267007.0,-1.1403245,0.0011964000085451783,0.0018422860431504678
ENSMUSG00000090059,198556.0,-6.6735663,0.0011994624702836175,0.0018462731988349807
ENSMUSG00000100265,212580.0,-23.154888,0.001207269636885,0.0018575576195288919
ENSMUSG00000057417,212640.0,-23.346191,0.001231290105186605,0.0018937698030895278
ENSMUSG00000062397,191293.0,-0.2517274,0.0012491576951453088,0.0019204938244511407
ENSMUSG00000044033,271175.0,0.094281495,0.001253397373069044,0.0019262530719635327
ENSMUSG00000023132,213000.0,-22.77173,0.0013856352534387282,0.0021286412436684714
ENSMUSG00000060913,270790.5,0.10849255,0.001396484285608738,0.0021444634720367162
ENSMUSG00000029228,270715.0,0.051299237,0.0014190932070393422,0.0021783248205615707
ENSMUSG00000069729,191802.0,-0.09036214,0.0014411132639991762,0.0022112559796007808
ENSMUSG00000062327,264229.0,-2.3379998,0.0014497201307981482,0.002223588030807537
ENSMUSG00000026141,270643.0,0.10567229,0.0014552636776727376,0.002231213701484881
ENSMUSG00000038871,270625.0,0.13183859,0.0014625868308729062,0.00224156080678165
ENSMUSG00000109446,254381.5,-1.6555834,0.0014735748251908831,0.002257514317979908
ENSMUSG00000035109,270582.0,0.11322089,0.0014796722383235376,0.002265965884591226
ENSMUSG00000026740,191915.5,-0.11403483,0.0014874679657927302,0.0022770105933790637
ENSMUSG00000038895,191917.0,-0.2799422,0.001488089519048186,0.0022770687464023615
ENSMUSG00000096696,270511.0,0.14288174,0.0015027022534621988,0.002298527711881419
ENSMUSG00000020614,270050.0,-0.34724146,0.0015038552253680824,0.0022993899253080947
ENSMUSG00000058056,270470.0,0.07291798,0.0015271067839100903,0.002334026898087416
ENSMUSG00000021403,213300.0,-24.165197,0.0015287216280929737,0.0023355801851287325
ENSMUSG00000026459,270455.0,0.14864756,0.0015334873978964721,0.002341944354830542
ENSMUSG00000026788,192063.0,-0.32840988,0.0015497614873872417,0.0023658721924041536
ENSMUSG00000032796,270343.0,-0.27485335,0.0015808663526173247,0.0024119963345997234
ENSMUSG00000033016,270340.5,-0.16440426,0.0015812113336509718,0.0024119963345997234
ENSMUSG00000015522,270329.0,0.11425927,0.001588061986305174,0.0024214997540300074
ENSMUSG00000038173,268863.0,-0.8439515,0.0015910475056571279,0.0024251044402633253
ENSMUSG00000037896,270312.0,0.09942535,0.0015955605943386996,0.0024310337520927782
ENSMUSG00000060261,270301.0,0.10701109,0.001600429995655405,0.0024375011096984347
ENSMUSG00000031737,270266.0,0.19553095,0.0016160009455341514,0.0024602558289013887
ENSMUSG00000048830,213480.0,-22.482725,0.001621475275581163,0.002467627349967901
ENSMUSG00000045515,270206.0,-0.15898195,0.001631237068211744,0.002481515415267924
ENSMUSG00000037608,270183.0,0.10625813,0.0016535326624357828,0.0025144522403836413
ENSMUSG00000001493,270002.0,-0.43793008,0.0016735791643371707,0.002543944643258138
ENSMUSG00000098022,270122.0,0.13391638,0.001681613317387754,0.0025551616683983707
ENSMUSG00000078497,248373.5,1.4510099,0.0016839099316406578,0.002557201496451446
ENSMUSG00000052415,192430.0,-0.9203347,0.0016842664904869852,0.002557201496451446
ENSMUSG00000023013,213600.0,-23.53346,0.0016863751632634242,0.0025594071906082775
ENSMUSG00000022346,270045.0,0.067903526,0.0017100494509695748,0.0025943285216497984
ENSMUSG00000039116,270041.0,0.2060734,0.0017195835313438357,0.0026077788337752223
ENSMUSG00000039159,192487.0,-0.17886366,0.001742453658185708,0.0026414351881276737
ENSMUSG00000042448,267448.0,-1.7488165,0.001756073743722693,0.0026610484458275525
ENSMUSG00000046962,192535.0,-0.13413092,0.0017656030267266373,0.0026744499263537803
ENSMUSG00000002985,269928.0,0.025909713,0.0017738690604962304,0.002685928239835581
ENSMUSG00000017978,269842.0,0.109737895,0.0018162351492617892,0.002749010687517262
ENSMUSG00000026413,267989.5,-1.2962248,0.001853726493016287,0.002804668776948256
ENSMUSG00000079554,269701.0,0.10726865,0.0018680153997073672,0.0028251922828132353
ENSMUSG00000030866,252863.0,-4.292205,0.0018936252211116718,0.0028628150378836666
ENSMUSG00000052417,213960.0,-24.01139,0.0018968639392405492,0.00286660073234571
ENSMUSG00000032368,269664.0,0.15529677,0.001906891062929351,0.0028806383769068244
ENSMUSG00000015882,269653.0,0.1184155,0.0019126285012632917,0.0028881874659169365
ENSMUSG00000035004,268179.5,-0.7772795,0.001941243928156695,0.002930264529078307
ENSMUSG00000049532,269542.0,0.03915836,0.00196968720418238,0.002972049292621673
ENSMUSG00000042124,214080.0,-20.139713,0.0019726383046547486,0.0029753516292086698
ENSMUSG00000026941,192969.0,-0.87930995,0.0019865894532734257,0.0029952364940776304
ENSMUSG00000027582,269501.0,0.14529036,0.0019935267510582328,0.003004535103371659
ENSMUSG00000030393,269418.0,0.10232241,0.0020374015965323976,0.003069475301030662
ENSMUSG00000050069,269402.0,0.16840738,0.002047585540011669,0.0030833902282758952
ENSMUSG00000032359,269301.0,-0.19024816,0.0020482182141699436,0.0030833902282758952
ENSMUSG00000019880,269399.0,0.10621547,0.002049527957513172,0.0030841720363349004
ENSMUSG00000029255,214260.0,-24.109058,0.002091940712160762,0.0031467820581539295
ENSMUSG00000041247,265321.0,-1.3008103,0.002125759869364855,0.0031964219692723174
ENSMUSG00000027551,193224.0,-0.1722836,0.0021305798113037057,0.0032024354482692832
ENSMUSG00000070547,214320.0,-23.604664,0.0021332717377040757,0.003205246946677437
ENSMUSG00000058900,269204.0,0.12544422,0.002154917752733528,0.003236523891903859
ENSMUSG00000005774,193308.0,-0.33029687,0.002179308376754396,0.003271897378259197
ENSMUSG00000058093,269168.0,0.12778105,0.0021818414158156626,0.0032744404632741213
ENSMUSG00000031503,269163.0,0.03345073,0.0021848247140622908,0.003277657068154963
ENSMUSG00000030546,198634.0,-3.6520414,0.002240317278146071,0.003359614919033808
ENSMUSG00000049593,214500.0,-20.479118,0.0022621688299719928,0.0033910805895315853
ENSMUSG00000007880,269025.0,0.081407696,0.0022676528576469784,0.0033979959487475076
ENSMUSG00000000394,214560.0,-22.294495,0.0023068221280258027,0.003455362742248247
ENSMUSG00000061013,268860.0,-0.42679566,0.002341389475919841,0.0035057949865845046
ENSMUSG00000037033,214620.0,-20.952755,0.002352347039987366,0.0035208508438936336
