,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
Gm43661,1.2885779e-05,2.1178275e-05,-4.8149377e-06,1.3854355e-05,3.425218e-05,7.484108e-06,2.6516616e-05,1.6404316e-05,3.3190474e-05,8.678064e-06,2.903305e-05,4.5809895e-05,2.1150336e-05,2.8241426e-05
Dlx1,0.0,0.0,3.7252903e-09,2.3469329e-07,0.0,3.7252903e-09,2.3469329e-07,3.7252903e-09,2.3469329e-07,2.3841858e-07,3.7252903e-09,2.3469329e-07,2.3841858e-07,2.3841858e-07
Gm9376,-8.405186e-07,0.0,8.1863254e-07,1.983135e-06,-8.405186e-07,-2.188608e-08,1.2031524e-06,8.1863254e-07,1.983135e-06,2.770219e-06,-2.188608e-08,1.2031524e-06,1.9914005e-06,2.770219e-06
Arid4a,-3.325939e-05,-5.9247017e-05,-5.4478645e-05,-4.7802925e-05,-9.775162e-05,-7.3730946e-05,-6.568432e-05,-0.00011265278,-8.85725e-05,-9.036064e-05,-0.0001436472,-0.000118374825,-0.000103116035,-0.00013720989
Pou3f3,0.0,8.6426735e-07,0.0,2.9802322e-08,8.6426735e-07,0.0,2.9802322e-08,8.6426735e-07,9.23872e-07,2.9802322e-08,8.6426735e-07,9.23872e-07,2.9802322e-08,9.23872e-07
Hoxb4,3.7252903e-08,1.6391277e-07,1.4901161e-08,-4.529953e-06,2.0861626e-07,5.9604645e-08,-4.4852495e-06,1.7881393e-07,-4.336238e-06,-4.515052e-06,2.2351742e-07,-4.3064356e-06,-4.4703484e-06,-4.3213367e-06
Fut2,4.786998e-07,4.660338e-06,6.3329935e-08,-4.2840838e-07,5.479902e-06,5.4202974e-07,2.7939677e-08,4.7478825e-06,4.021451e-06,-3.6042184e-07,5.6307763e-06,4.7795475e-06,8.288771e-08,4.1248277e-06
Myf5,-6.1951578e-06,5.1409006e-06,3.0994415e-06,6.7420304e-05,-1.039356e-06,-3.144145e-06,6.0994178e-05,8.277595e-06,7.260591e-05,6.964058e-05,2.0936131e-06,6.617978e-05,6.32219e-05,7.481128e-05
Sim1,0.0003722012,0.00031003356,0.00019955635,0.0017256141,0.0007239878,0.0004950464,0.0020612776,0.0005117953,0.0020929575,0.0019054711,0.00087091327,0.0024665296,0.002153933,0.0022780597
Myh7b,3.2566488e-05,9.37283e-06,1.5765429e-05,0.00021383911,4.2535365e-05,4.8696995e-05,0.00024873018,2.5384128e-05,0.00022418797,0.00022997707,5.8852136e-05,0.00025960058,0.00026534498,0.00024031103
