,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Cd44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pura,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atf6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col12a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoxc10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rasgrp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slit3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slit2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfkb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gpx3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smad3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scg2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eln,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adcy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tfrc,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rbpj,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lcp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mapk10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pde4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itpr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lef1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hif1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hes1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbln5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nrp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tpm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abca1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stat2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
